,title,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,lower_title,_merge
0,101 Dalmatians,tt0115433,movie,101 Dalmatians,101 Dalmatians,0,1996,\N,103,"Adventure,Comedy,Crime",101 dalmatians,both
5,102 Dalmatians,tt0211181,movie,102 Dalmatians,102 Dalmatians,0,2000,\N,100,"Adventure,Comedy,Family",102 dalmatians,both
10,"20,000 Leagues Under the Sea",tt0046672,movie,"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea",0,1954,\N,127,"Adventure,Drama,Family",20000 leagues under the sea,both
24,A Bug's Life,tt0120623,movie,A Bug's Life,A Bug's Life,0,1998,\N,95,"Adventure,Animation,Comedy",a bugs life,both
74,A Christmas Carol,tt1067106,movie,A Christmas Carol,A Christmas Carol,0,2009,\N,96,"Adventure,Animation,Comedy",a christmas carol,both
126,A Far Off Place,tt0106868,movie,A Far Off Place,A Far Off Place,0,1993,\N,100,"Adventure,Drama,Family",a far off place,both
127,A Goofy Movie,tt0113198,movie,A Goofy Movie,A Goofy Movie,0,1995,\N,78,"Adventure,Animation,Comedy",a goofy movie,both
135,A Kid In King Arthur's Court,tt0113538,movie,A Kid in King Arthur's Court,A Kid in King Arthur's Court,0,1995,\N,89,"Adventure,Comedy,Family",a kid in king arthurs court,both
143,A Tiger Walks,tt0058657,movie,A Tiger Walks,A Tiger Walks,0,1964,\N,91,"Drama,Family",a tiger walks,both
147,A Wrinkle in Time,tt1620680,movie,A Wrinkle in Time,A Wrinkle in Time,0,2018,\N,109,"Adventure,Family,Fantasy",a wrinkle in time,both
158,Adventures in Babysitting,tt0092513,movie,Adventures in Babysitting,Adventures in Babysitting,0,1987,\N,102,"Adventure,Comedy,Crime",adventures in babysitting,both
187,African Cats,tt1223236,movie,African Cats,African Cats,0,2011,\N,89,"Adventure,Documentary",african cats,both
190,Aladdin,tt0103639,movie,Aladdin,Aladdin,0,1992,\N,90,"Adventure,Animation,Comedy",aladdin,both
244,Aladdin,tt6139732,movie,Aladdin,Aladdin,0,2019,\N,128,"Adventure,Comedy,Family",aladdin,both
258,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",tt1698641,movie,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Alexander and the Terrible, Horrible, No Good, Very Bad Day",0,2014,\N,81,"Comedy,Drama,Family",alexander and the terrible horrible no good very bad day,both
268,Alice in Wonderland,tt0043274,movie,Alice in Wonderland,Alice in Wonderland,0,1951,\N,75,"Adventure,Animation,Comedy",alice in wonderland,both
291,Alice in Wonderland,tt1014759,movie,Alice in Wonderland,Alice in Wonderland,0,2010,\N,108,"Adventure,Family,Fantasy",alice in wonderland,both
344,Alice Through the Looking Glass,tt2567026,movie,Alice Through the Looking Glass,Alice Through the Looking Glass,0,2016,\N,113,"Adventure,Family,Fantasy",alice through the looking glass,both
356,Aliens of the Deep,tt0417415,movie,Aliens of the Deep,Aliens of the Deep,0,2005,\N,100,"Documentary,Family",aliens of the deep,both
358,Almost Angels,tt0055740,movie,Almost Angels,Almost Angels,0,1962,\N,93,"Comedy,Family,Music",almost angels,both
360,America's Heart and Soul,tt0381006,movie,America's Heart & Soul,America's Heart & Soul,0,2004,\N,84,Documentary,americas heart  soul,both
361,Amy,tt0082017,movie,Amy,Amy,0,1981,\N,100,"Drama,Family",amy,both
429,Angels in the Outfield,tt0043286,movie,Angels in the Outfield,Angels in the Outfield,0,1951,\N,99,"Comedy,Family,Fantasy",angels in the outfield,both
