,index,DFL_title,tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,newurl,mpaarating,rlsdt,budget,worldwide,DIR_COUNT,DIR_AGE,DIR_RTG,DIR_FILM_COUNT,WTR_COUNT,WTR_AGE,WTR_FILM_COUNT,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,fi,history,horror,music,musical,mystery,news,romance,sci,sport,thriller,western,newmpaarating_G,newmpaarating_Not Rated,newmpaarating_PG,newmpaarating_PG-13,budget_adj,worldwide_adj,ROI,rlsdt_dt,rlsdt_mo,rlsdt_day,rlsdt_daynm,rlsdt_dayofwk,rlsdt_season,rlsdt_season_NM
0,0,101 Dalmatians,tt0115433,movie,101 Dalmatians,1996,103,"Adventure,Comedy,Crime",5.7,109712.0,https://www.imdb.com/title/tt0115433,G,1996-11-27 00:00:00,"$75,000,000 (estimated)","$320,689,294",1.0,38.0,6.583333333333333,6.0,2.0,73.0,19.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,75000000,320689294,3.275857253333333,1996-11-27,11.0,27.0,Wednesday,4.0,3.0,Fall
1,1,102 Dalmatians,tt0211181,movie,102 Dalmatians,2000,100,"Adventure,Comedy,Family",4.8,37056.0,https://www.imdb.com/title/tt0211181,G,2000-11-22 00:00:00,"$85,000,000 (estimated)","$183,611,771",1.0,38.0,7.1,2.0,5.0,104.0,0.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,85000000,183611771,1.1601384823529413,2000-11-22,11.0,22.0,Wednesday,4.0,3.0,Fall
2,2,"20,000 Leagues Under the Sea",tt0046672,movie,"20,000 Leagues Under the Sea",1954,127,"Adventure,Drama,Family",7.2,33109.0,https://www.imdb.com/title/tt0046672,G,1955-07-20 00:00:00,"$9,000,000 (estimated)",error,1.0,38.0,6.44,15.0,2.0,85.5,30.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9000000,0,-1.0,1955-07-20,7.0,20.0,Wednesday,4.0,2.0,Summer
3,3,A Bug's Life,tt0120623,movie,A Bug's Life,1998,95,"Adventure,Animation,Comedy",7.2,284538.0,https://www.imdb.com/title/tt0120623,G,1998-11-25 00:00:00,"$120,000,000 (estimated)","$363,258,859",2.0,37.0,6.584294088531414,0.0,3.0,38.0,1.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,120000000,363258859,2.027157158333333,1998-11-25,11.0,25.0,Wednesday,4.0,3.0,Fall
4,4,A Christmas Carol,tt1067106,movie,A Christmas Carol,2009,96,"Adventure,Animation,Comedy",6.8,112582.0,https://www.imdb.com/title/tt1067106,PG,2009-11-06 00:00:00,"$200,000,000 (estimated)","$325,286,646",1.0,58.0,7.299999999999999,15.0,1.0,197.0,50.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,200000000,325286646,0.62643323,2009-11-06,11.0,6.0,Friday,6.0,3.0,Fall
5,5,A Far Off Place,tt0106868,movie,A Far Off Place,1993,100,"Adventure,Drama,Family",6.5,3556.0,https://www.imdb.com/title/tt0106868,PG,1993-03-12 00:00:00,error,"$12,890,752",1.0,48.0,6.584294088531414,0.0,4.0,56.0,4.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12890752,,1993-03-12,3.0,12.0,Friday,6.0,4.0,Winter
6,6,A Goofy Movie,tt0113198,movie,A Goofy Movie,1995,78,"Adventure,Animation,Comedy",6.9,52058.0,https://www.imdb.com/title/tt0113198,G,1995-04-07 00:00:00,"$18,000,000 (estimated)","$35,348,597",1.0,33.0,6.584294088531414,0.0,5.0,40.6,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18000000,35348597,0.9638109444444444,1995-04-07,4.0,7.0,Friday,6.0,1.0,Spring
7,7,A Kid In King Arthur's Court,tt0113538,movie,A Kid in King Arthur's Court,1995,89,"Adventure,Comedy,Family",4.7,6159.0,https://www.imdb.com/title/tt0113538,PG,1995-08-11 00:00:00,"$15,000,000 (estimated)","$13,406,717",1.0,50.0,5.1000000000000005,3.0,2.0,46.0,4.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15000000,13406717,-0.1062188666666666,1995-08-11,8.0,11.0,Friday,6.0,2.0,Summer
8,8,A Tiger Walks,tt0058657,movie,A Tiger Walks,1964,91,"Drama,Family",6.3,349.0,https://www.imdb.com/title/tt0058657,Approved,1964-03-12 00:00:00,error,error,1.0,45.0,6.25,2.0,2.0,52.0,6.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1964-03-12,3.0,12.0,Thursday,5.0,4.0,Winter
9,9,A Wrinkle in Time,tt1620680,movie,A Wrinkle in Time,2018,109,"Adventure,Family,Fantasy",4.2,44220.0,https://www.imdb.com/title/tt1620680,PG,2018-03-09 00:00:00,"$100,000,000 (estimated)","$132,675,864",1.0,46.0,6.6,4.0,3.0,73.5,1.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100000000,132675864,0.32675864,2018-03-09,3.0,9.0,Friday,6.0,4.0,Winter
10,10,Adventures in Babysitting,tt0092513,movie,Adventures in Babysitting,1987,102,"Adventure,Comedy,Crime",6.9,42893.0,https://www.imdb.com/title/tt0092513,PG-13,1987-07-03 00:00:00,"$7,000,000 (estimated)","$34,368,475",1.0,29.0,6.584294088531414,0.0,1.0,54.5,0.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7000000,34368475,3.909782142857143,1987-07-03,7.0,3.0,Friday,6.0,2.0,Summer
11,11,African Cats,tt1223236,movie,African Cats,2011,89,"Adventure,Documentary",7.5,6446.0,https://www.imdb.com/title/tt1223236,G,2011-04-22 00:00:00,"$5,000,000 (estimated)","$30,857,747",2.0,51.0,7.7,2.0,2.0,54.5,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5000000,30857747,5.1715494,2011-04-22,4.0,22.0,Friday,6.0,1.0,Spring
12,12,Aladdin,tt0103639,movie,Aladdin,1992,90,"Adventure,Animation,Comedy",8.1,397857.0,https://www.imdb.com/title/tt0103639,G,1992-11-25 00:00:00,"$28,000,000 (estimated)","$504,050,219",2.0,39.0,7.4,2.0,4.0,40.75,1.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28000000,504050219,17.001793535714285,1992-11-25,11.0,25.0,Wednesday,4.0,3.0,Fall
13,13,Aladdin,tt6139732,movie,Aladdin,2019,128,"Adventure,Comedy,Family",6.9,254894.0,https://www.imdb.com/title/tt6139732,PG,2019-05-24 00:00:00,"$183,000,000 (estimated)","$1,050,693,953",1.0,51.0,6.955555555555556,9.0,1.0,49.0,9.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,183000000,1050693953,4.741497010928962,2019-05-24,5.0,24.0,Friday,6.0,1.0,Spring
14,14,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",tt1698641,movie,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,81,"Comedy,Drama,Family",6.2,43592.0,https://www.imdb.com/title/tt1698641,PG,2014-10-10 00:00:00,"$28,000,000 (estimated)","$100,654,149",1.0,49.0,6.28,5.0,2.0,60.5,0.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28000000,100654149,2.5947910357142856,2014-10-10,10.0,10.0,Friday,6.0,3.0,Fall
15,15,Alice in Wonderland,tt0043274,movie,Alice in Wonderland,1951,75,"Adventure,Animation,Comedy",7.4,137976.0,https://www.imdb.com/title/tt0043274,G,1951-07-28 00:00:00,"$3,000,000 (estimated)",error,4.0,46.25,6.599999999999999,6.0,2.0,80.0,4.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3000000,0,-1.0,1951-07-28,7.0,28.0,Saturday,7.0,2.0,Summer
16,16,Alice in Wonderland,tt1014759,movie,Alice in Wonderland,2010,108,"Adventure,Family,Fantasy",6.4,404443.0,https://www.imdb.com/title/tt1014759,PG,2010-03-05 00:00:00,"$200,000,000 (estimated)","$1,025,468,216",1.0,52.0,7.215384615384615,13.0,2.0,118.0,14.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,200000000,1025468216,4.12734108,2010-03-05,3.0,5.0,Friday,6.0,4.0,Winter
17,17,Alice Through the Looking Glass,tt2567026,movie,Alice Through the Looking Glass,2016,113,"Adventure,Family,Fantasy",6.2,103982.0,https://www.imdb.com/title/tt2567026,PG,2016-05-27 00:00:00,"$170,000,000 (estimated)","$299,820,798",1.0,44.0,6.75,2.0,2.0,124.0,17.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,170000000,299820798,0.7636517529411765,2016-05-27,5.0,27.0,Friday,6.0,1.0,Spring
18,18,Aliens of the Deep,tt0417415,movie,Aliens of the Deep,2005,100,"Documentary,Family",6.4,3003.0,https://www.imdb.com/title/tt0417415,G,2005-08-25 00:00:00,error,"$12,775,590",1.0,47.0,6.584294088531414,0.0,3.0,54.5,1.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12775590,,2005-08-25,8.0,25.0,Thursday,5.0,2.0,Summer
19,19,Almost Angels,tt0055740,movie,Almost Angels,1962,93,"Comedy,Family,Music",6.6,545.0,https://www.imdb.com/title/tt0055740,Not Rated,1962-12-21 00:00:00,error,error,1.0,37.0,7.2,1.0,2.0,58.0,17.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1962-12-21,12.0,21.0,Friday,6.0,3.0,Fall
20,20,America's Heart and Soul,tt0381006,movie,America's Heart & Soul,2004,84,Documentary,5.0,679.0,https://www.imdb.com/title/tt0381006,PG,2004-07-02 00:00:00,error,"$314,402",1.0,47.0,6.584294088531414,0.0,3.0,54.5,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,314402,,2004-07-02,7.0,2.0,Friday,6.0,2.0,Summer
21,21,Amy,tt0082017,movie,Amy,1981,100,"Drama,Family",6.6,464.0,https://www.imdb.com/title/tt0082017,G,1981-03-20 00:00:00,error,error,1.0,52.0,5.800000000000001,12.0,1.0,54.5,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1981-03-20,3.0,20.0,Friday,6.0,4.0,Winter
22,22,Angels in the Outfield,tt0043286,movie,Angels in the Outfield,1951,99,"Comedy,Family,Fantasy",7.1,2401.0,https://www.imdb.com/title/tt0043286,Approved,1951-10-19 00:00:00,"$1,081,000 (estimated)",error,1.0,61.0,6.675,44.0,3.0,43.333333333333336,0.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1081000,0,-1.0,1951-10-19,10.0,19.0,Friday,6.0,3.0,Fall
23,23,Angels in the Outfield,tt0109127,movie,Angels in the Outfield,1994,102,"Comedy,Family,Fantasy",6.2,31557.0,https://www.imdb.com/title/tt0109127,PG,1994-07-15 00:00:00,"$24,000,000 (estimated)","$50,236,831",1.0,50.0,6.016666666666667,6.0,4.0,73.75,1.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24000000,50236831,1.093201291666667,1994-07-15,7.0,15.0,Friday,6.0,2.0,Summer
24,24,Ant-Man,tt0478970,movie,Ant-Man,2015,117,"Action,Adventure,Comedy",7.3,634996.0,https://www.imdb.com/title/tt0478970,PG-13,2015-07-17 00:00:00,"$130,000,000 (estimated)","$519,311,965",1.0,51.0,6.25,4.0,5.0,62.4,1.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130000000,519311965,2.9947074230769237,2015-07-17,7.0,17.0,Friday,6.0,2.0,Summer
25,25,Ant-Man and the Wasp,tt5095030,movie,Ant-Man and the Wasp,2018,118,"Action,Adventure,Comedy",7.0,372401.0,https://www.imdb.com/title/tt5095030,PG-13,2018-07-06 00:00:00,"$162,000,000 (estimated)","$622,674,139",1.0,54.0,6.459999999999999,5.0,5.0,96.0,26.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,162000000,622674139,2.843667524691358,2018-07-06,7.0,6.0,Friday,6.0,2.0,Summer
26,26,Around the World in 80 Days,tt0327437,movie,Around the World in 80 Days,2004,120,"Action,Adventure,Comedy",5.8,88987.0,https://www.imdb.com/title/tt0327437,PG,2004-06-16 00:00:00,"$110,000,000 (estimated)","$72,178,895",1.0,38.0,6.533333333333334,3.0,4.0,176.0,1.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,110000000,72178895,-0.3438282272727272,2004-06-16,6.0,16.0,Wednesday,4.0,1.0,Spring
27,27,Artemis Fowl,tt3089630,movie,Artemis Fowl,2020,95,"Adventure,Family,Fantasy",4.2,27155.0,https://www.imdb.com/title/tt3089630,PG,2020-06-12 00:00:00,error,error,1.0,60.0,7.1000000000000005,7.0,3.0,54.0,4.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2020-06-12,6.0,12.0,Friday,6.0,1.0,Spring
28,28,Atlantis: The Lost Empire,tt0230011,movie,Atlantis: The Lost Empire,2001,95,"Action,Adventure,Animation",6.9,115023.0,https://www.imdb.com/title/tt0230011,PG,2001-06-15 00:00:00,"$120,000,000 (estimated)","$186,053,725",2.0,39.5,7.55,2.0,4.0,37.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,120000000,186053725,0.5504477083333333,2001-06-15,6.0,15.0,Friday,6.0,1.0,Spring
29,29,Avengers: Endgame,tt4154796,movie,Avengers: Endgame,2019,181,"Action,Adventure,Drama",8.4,1028204.0,https://www.imdb.com/title/tt4154796,PG-13,2019-04-26 00:00:00,"$356,000,000 (estimated)","$2,797,501,328",2.0,48.5,6.8,6.0,4.0,74.25,18.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,356000000,2797501328,6.858149797752809,2019-04-26,4.0,26.0,Friday,6.0,1.0,Spring
30,30,Avengers: Infinity War,tt4154756,movie,Avengers: Infinity War,2018,149,"Action,Adventure,Sci-Fi",8.5,993970.0,https://www.imdb.com/title/tt4154756,PG-13,2018-04-27 00:00:00,"$321,000,000 (estimated)","$2,048,359,754",2.0,47.5,6.459999999999999,5.0,4.0,73.25,17.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,321000000,2048359754,5.381183034267913,2018-04-27,4.0,27.0,Friday,6.0,1.0,Spring
31,31,Babes in Toyland,tt0054649,movie,Babes in Toyland,1961,106,"Comedy,Family,Fantasy",6.2,4138.0,https://www.imdb.com/title/tt0054649,Approved,1961-12-14 00:00:00,error,error,1.0,53.0,6.125,4.0,5.0,68.0,3.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1961-12-14,12.0,14.0,Thursday,5.0,3.0,Fall
32,32,Babes in Toyland,tt0168473,movie,Babes in Toyland,1997,74,"Animation,Comedy,Family",4.9,563.0,https://www.imdb.com/title/tt0168473,G,1997-10-14 00:00:00,error,error,3.0,57.0,6.584294088531414,0.0,2.0,127.0,0.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1997-10-14,10.0,14.0,Tuesday,3.0,3.0,Fall
33,33,Bambi,tt0034492,movie,Bambi,1942,70,"Adventure,Animation,Drama",7.3,139598.0,https://www.imdb.com/title/tt0034492,G,1942-08-21 00:00:00,error,"$267,447,150",6.0,40.5,7.7,1.0,3.0,54.5,1.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,267447150,,1942-08-21,8.0,21.0,Friday,6.0,2.0,Summer
34,34,Bears,tt2458776,movie,Bears,2014,78,"Documentary,Family",7.3,6748.0,https://www.imdb.com/title/tt2458776,G,2014-04-18 00:00:00,"$5,000,000 (estimated)","$21,316,745",3.0,54.0,7.5,4.0,1.0,39.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5000000,21316745,3.263349,2014-04-18,4.0,18.0,Friday,6.0,1.0,Spring
35,35,Beauty and the Beast,tt0101414,movie,Beauty and the Beast,1991,84,"Animation,Family,Fantasy",8.1,437761.0,https://www.imdb.com/title/tt0101414,G,1991-11-22 00:00:00,"$25,000,000 (estimated)","$424,967,620",2.0,29.5,6.584294088531414,0.0,4.0,38.25,0.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25000000,424967620,15.9987048,1991-11-22,11.0,22.0,Friday,6.0,3.0,Fall
36,36,Beauty and the Beast,tt2771200,movie,Beauty and the Beast,2017,129,"Adventure,Family,Fantasy",7.1,298558.0,https://www.imdb.com/title/tt2771200,PG,2017-03-17 00:00:00,"$160,000,000 (estimated)","$1,273,576,220",1.0,62.0,6.133333333333334,9.0,5.0,187.5,1.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,160000000,1273576220,6.959851375,2017-03-17,3.0,17.0,Friday,6.0,4.0,Winter
37,37,Bedknobs and Broomsticks,tt0066817,movie,Bedknobs and Broomsticks,1971,117,"Adventure,Animation,Comedy",7.1,36836.0,https://www.imdb.com/title/tt0066817,G,1971-12-13 00:00:00,"$20,000,000 (estimated)",error,2.0,61.5,6.8,1.0,4.0,58.25,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20000000,0,-1.0,1971-12-13,12.0,13.0,Monday,2.0,3.0,Fall
38,38,Benji The Hunted,tt0092638,movie,Benji the Hunted,1987,88,"Adventure,Family",6.2,3057.0,https://www.imdb.com/title/tt0092638,G,1987-06-19 00:00:00,error,"$22,257,624",1.0,48.0,5.839999999999999,5.0,3.0,54.5,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22257624,,1987-06-19,6.0,19.0,Friday,6.0,1.0,Spring
39,39,Beverly Hills Chihuahua,tt1014775,movie,Beverly Hills Chihuahua,2008,91,"Adventure,Comedy,Drama",3.9,24069.0,https://www.imdb.com/title/tt1014775,PG,2008-10-03 00:00:00,"$20,000,000 (estimated)","$149,292,488",1.0,50.0,5.233333333333333,6.0,2.0,54.5,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20000000,149292488,6.4646244,2008-10-03,10.0,3.0,Friday,6.0,3.0,Fall
40,40,Big Hero 6,tt2245084,movie,Big Hero 6,2014,102,"Action,Adventure,Animation",7.8,444094.0,https://www.imdb.com/title/tt2245084,PG,2014-11-07 00:00:00,"$165,000,000 (estimated)","$657,869,686",2.0,45.5,6.9,1.0,4.0,48.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,165000000,657869686,2.987089006060606,2014-11-07,11.0,7.0,Friday,6.0,3.0,Fall
41,41,Big Red,tt0055793,movie,Big Red,1962,89,"Adventure,Drama,Family",6.4,762.0,https://www.imdb.com/title/tt0055793,Not Rated,1962-06-06 00:00:00,error,error,1.0,43.0,6.584294088531414,0.0,2.0,56.0,0.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1962-06-06,6.0,6.0,Wednesday,4.0,1.0,Spring
42,42,Black Panther,tt1825683,movie,Black Panther,2018,134,"Action,Adventure,Sci-Fi",7.3,712404.0,https://www.imdb.com/title/tt1825683,PG-13,2018-02-16 00:00:00,"$200,000,000 (estimated)","$1,347,597,973",1.0,32.0,7.55,2.0,3.0,98.5,16.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,200000000,1347597973,5.737989865,2018-02-16,2.0,16.0,Friday,6.0,4.0,Winter
43,43,Black Widow,tt3480822,movie,Black Widow,2021,134,"Action,Adventure,Sci-Fi",6.7,342415.0,https://www.imdb.com/title/tt3480822,PG-13,2021-07-09 00:00:00,"$200,000,000 (estimated)","$379,751,655",1.0,53.0,6.666666666666667,3.0,3.0,44.0,0.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,200000000,379751655,0.898758275,2021-07-09,7.0,9.0,Friday,6.0,2.0,Summer
44,44,Blackbeard's Ghost,tt0062737,movie,Blackbeard's Ghost,1968,106,"Comedy,Family,Fantasy",6.8,5926.0,https://www.imdb.com/title/tt0062737,Approved,1968-02-08 00:00:00,error,"$21,540,050",1.0,63.0,6.497142857142856,35.0,3.0,56.66666666666666,3.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21540050,,1968-02-08,2.0,8.0,Thursday,5.0,4.0,Winter
45,45,Blank Check,tt0109287,movie,Blank Check,1994,93,"Comedy,Crime,Family",5.2,20390.0,https://www.imdb.com/title/tt0109287,PG,1994-02-11 00:00:00,error,"$30,577,969",1.0,33.0,6.584294088531414,0.0,2.0,37.0,0.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30577969,,1994-02-11,2.0,11.0,Friday,6.0,4.0,Winter
46,46,Bolt,tt0397892,movie,Bolt,2008,96,"Adventure,Animation,Comedy",6.9,204444.0,https://www.imdb.com/title/tt0397892,PG,2008-11-21 00:00:00,"$150,000,000 (estimated)","$309,979,994",2.0,40.0,6.584294088531414,0.0,1.0,32.0,2.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,150000000,309979994,1.0665332933333334,2008-11-21,11.0,21.0,Friday,6.0,3.0,Fall
47,47,Bon Voyage!,tt0055807,movie,Bon Voyage!,1962,130,"Adventure,Comedy,Drama",5.7,674.0,https://www.imdb.com/title/tt0055807,Not Rated,1962-05-17 00:00:00,error,error,1.0,53.0,6.0,2.0,3.0,45.0,2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1962-05-17,5.0,17.0,Thursday,5.0,1.0,Spring
48,48,Brave,tt1217209,movie,Brave,2012,93,"Adventure,Animation,Comedy",7.1,399051.0,https://www.imdb.com/title/tt1217209,PG,2012-06-22 00:00:00,"$185,000,000 (estimated)","$538,983,207",3.0,47.0,6.584294088531414,0.0,1.0,63.0,3.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,185000000,538983207,1.9134227405405408,2012-06-22,6.0,22.0,Friday,6.0,1.0,Spring
49,49,Bridge to Terabithia,tt0398808,movie,Bridge to Terabithia,2007,96,"Drama,Family,Fantasy",7.2,152790.0,https://www.imdb.com/title/tt0398808,PG,2007-02-16 00:00:00,"$17,000,000 (estimated)","$137,587,063",1.0,55.0,6.584294088531414,0.0,3.0,58.0,0.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17000000,137587063,7.093356647058823,2007-02-16,2.0,16.0,Friday,6.0,4.0,Winter
