,title,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,_merge
0,101 Dalmatians,tt0115433,movie,101 Dalmatians,101 Dalmatians,0,1996,\N,103,"Adventure,Comedy,Crime",both
5,102 Dalmatians,tt0211181,movie,102 Dalmatians,102 Dalmatians,0,2000,\N,100,"Adventure,Comedy,Family",both
10,"20,000 Leagues Under The Sea",tt0046672,movie,"20,000 Leagues Under The Sea","20,000 Leagues Under the Sea",0,1954,\N,127,"Adventure,Drama,Family",both
23,A Bug'S Life,tt0120623,movie,A Bug'S Life,A Bug's Life,0,1998,\N,95,"Adventure,Animation,Comedy",both
73,A Christmas Carol,tt1067106,movie,A Christmas Carol,A Christmas Carol,0,2009,\N,96,"Adventure,Animation,Comedy",both
124,A Far Off Place,tt0106868,movie,A Far Off Place,A Far Off Place,0,1993,\N,100,"Adventure,Drama,Family",both
125,A Goofy Movie,tt0113198,movie,A Goofy Movie,A Goofy Movie,0,1995,\N,78,"Adventure,Animation,Comedy",both
133,A Kid In King Arthur'S Court,tt0113538,movie,A Kid In King Arthur'S Court,A Kid in King Arthur's Court,0,1995,\N,89,"Adventure,Comedy,Family",both
140,A Tiger Walks,tt0058657,movie,A Tiger Walks,A Tiger Walks,0,1964,\N,91,"Drama,Family",both
145,A Wrinkle In Time,tt1620680,movie,A Wrinkle In Time,A Wrinkle in Time,0,2018,\N,109,"Adventure,Family,Fantasy",both
156,Adventures In Babysitting,tt0092513,movie,Adventures In Babysitting,Adventures in Babysitting,0,1987,\N,102,"Adventure,Comedy,Crime",both
183,African Cats,tt1223236,movie,African Cats,African Cats,0,2011,\N,89,"Adventure,Documentary",both
186,Aladdin,tt0103639,movie,Aladdin,Aladdin,0,1992,\N,90,"Adventure,Animation,Comedy",both
240,Aladdin,tt6139732,movie,Aladdin,Aladdin,0,2019,\N,128,"Adventure,Comedy,Family",both
316,"Alexander And The Terrible, Horrible, No Good, Very Bad Day",tt13782222,movie,"Alexander And The Terrible, Horrible, No Good, Very Bad Day","Alexander and the Terrible, Horrible, No Good, Very Bad Day",0,\N,\N,\N,"Comedy,Family",both
318,"Alexander And The Terrible, Horrible, No Good, Very Bad Day",tt1698641,movie,"Alexander And The Terrible, Horrible, No Good, Very Bad Day","Alexander and the Terrible, Horrible, No Good, Very Bad Day",0,2014,\N,81,"Comedy,Drama,Family",both
328,Alice In Wonderland,tt0043274,movie,Alice In Wonderland,Alice in Wonderland,0,1951,\N,75,"Adventure,Animation,Comedy",both
351,Alice In Wonderland,tt1014759,movie,Alice In Wonderland,Alice in Wonderland,0,2010,\N,108,"Adventure,Family,Fantasy",both
473,Alice Through The Looking Glass,tt2567026,movie,Alice Through The Looking Glass,Alice Through the Looking Glass,0,2016,\N,113,"Adventure,Family,Fantasy",both
485,Aliens Of The Deep,tt0417415,movie,Aliens Of The Deep,Aliens of the Deep,0,2005,\N,100,"Documentary,Family",both
487,Almost Angels,tt0055740,movie,Almost Angels,Almost Angels,0,1962,\N,93,"Comedy,Family,Music",both
489,America'S Heart And Soul,tt0381006,movie,America'S Heart & Soul,America's Heart & Soul,0,2004,\N,84,Documentary,both
490,Amy,tt0082017,movie,Amy,Amy,0,1981,\N,100,"Drama,Family",both
556,Angels In The Outfield,tt0043286,movie,Angels In The Outfield,Angels in the Outfield,0,1951,\N,99,"Comedy,Family,Fantasy",both
557,Angels In The Outfield,tt0109127,movie,Angels In The Outfield,Angels in the Outfield,0,1994,\N,102,"Comedy,Family,Fantasy",both
560,Ant-Man,tt0478970,movie,Ant-Man,Ant-Man,0,2015,\N,117,"Action,Adventure,Comedy",both
582,Ant-Man And The Wasp,tt5095030,movie,Ant-Man And The Wasp,Ant-Man and the Wasp,0,2018,\N,118,"Action,Adventure,Comedy",both
598,Around The World In 80 Days,tt0327437,movie,Around The World In 80 Days,Around the World in 80 Days,0,2004,\N,120,"Action,Adventure,Comedy",both
616,Artemis Fowl,tt3089630,movie,Artemis Fowl,Artemis Fowl,0,2020,\N,95,"Adventure,Family,Fantasy",both
620,Atlantis: The Lost Empire,tt0230011,movie,Atlantis: The Lost Empire,Atlantis: The Lost Empire,0,2001,\N,95,"Action,Adventure,Animation",both
648,Avengers: Endgame,tt4154796,movie,Avengers: Endgame,Avengers: Endgame,0,2019,\N,181,"Action,Adventure,Drama",both
658,Avengers: Infinity War,tt4154756,movie,Avengers: Infinity War,Avengers: Infinity War,0,2018,\N,149,"Action,Adventure,Sci-Fi",both
677,Babes In Toyland,tt0054649,movie,Babes In Toyland,Babes in Toyland,0,1961,\N,106,"Comedy,Family,Fantasy",both
679,Babes In Toyland,tt0168473,movie,Babes In Toyland,Babes in Toyland,0,1997,\N,74,"Animation,Comedy,Family",both
695,Bambi,tt0034492,movie,Bambi,Bambi,0,1942,\N,70,"Adventure,Animation,Drama",both
734,Bears,tt2458776,movie,Bears,Bears,0,2014,\N,78,"Documentary,Family",both
757,Beauty And The Beast,tt0101414,movie,Beauty And The Beast,Beauty and the Beast,0,1991,\N,84,"Animation,Family,Fantasy",both
797,Beauty And The Beast,tt11861230,movie,Beauty And The Beast,Beauty and the Beast,0,2017,\N,\N,"Comedy,Drama,Family",both
1022,Bedknobs And Broomsticks,tt0066817,movie,Bedknobs And Broomsticks,Bedknobs and Broomsticks,0,1971,\N,117,"Adventure,Animation,Comedy",both
1031,Bedtime Stories,tt0344910,movie,Bedtime Stories,Bedtime Stories,0,2002,\N,\N,"Drama,Romance",both
1040,Bedtime Stories,tt0960731,movie,Bedtime Stories,Bedtime Stories,0,2008,\N,99,"Adventure,Comedy,Family",both
1076,Benji The Hunted,tt0092638,movie,Benji The Hunted,Benji the Hunted,0,1987,\N,88,"Adventure,Family",both
1077,Beverly Hills Chihuahua,tt1014775,movie,Beverly Hills Chihuahua,Beverly Hills Chihuahua,0,2008,\N,91,"Adventure,Comedy,Drama",both
1089,Big Hero 6,tt2245084,movie,Big Hero 6,Big Hero 6,0,2014,\N,102,"Action,Adventure,Animation",both
1100,Big Red,tt0055793,movie,Big Red,Big Red,0,1962,\N,89,"Adventure,Drama,Family",both
1127,Black Panther,tt1825683,movie,Black Panther,Black Panther,0,2018,\N,134,"Action,Adventure,Sci-Fi",both
1130,Black Panther,tt2905856,movie,Black Panther,Schwarzer Panther,0,2014,\N,79,"Drama,Romance",both
1200,Black Widow,tt3480822,movie,Black Widow,Black Widow,0,2021,\N,134,"Action,Adventure,Sci-Fi",both
1228,Blackbeard'S Ghost,tt0062737,movie,Blackbeard'S Ghost,Blackbeard's Ghost,0,1968,\N,106,"Comedy,Family,Fantasy",both
1230,Blank Check,tt0109287,movie,Blank Check,Blank Check,0,1994,\N,93,"Comedy,Crime,Family",both
1237,Bolt,tt0397892,movie,Bolt,Bolt,0,2008,\N,96,"Adventure,Animation,Comedy",both
1242,Bolt,tt14608798,movie,Bolt,Bolt,0,2019,\N,80,"Drama,Fantasy",both
1250,Bon Voyage!,tt0055807,movie,Bon Voyage!,Bon Voyage!,0,1962,\N,130,"Adventure,Comedy,Drama",both
1251,Bon Voyage!,tt1104118,movie,Bon Voyage!,Safar be kheir,0,1994,\N,83,Comedy,both
1266,Brave,tt1217209,movie,Brave,Brave,0,2012,\N,93,"Adventure,Animation,Comedy",both
1297,Bridge To Terabithia,tt0398808,movie,Bridge To Terabithia,Bridge to Terabithia,0,2007,\N,96,"Drama,Family,Fantasy",both
1303,Brother Bear,tt0328880,movie,Brother Bear,Brother Bear,0,2003,\N,85,"Adventure,Animation,Comedy",both
1316,Candleshoe,tt0075807,movie,Candleshoe,Candleshoe,0,1977,\N,101,"Adventure,Comedy,Drama",both
1321,Captain America: Civil War,tt3498820,movie,Captain America: Civil War,Captain America: Civil War,0,2016,\N,147,"Action,Adventure,Sci-Fi",both
1347,Captain Marvel,tt4154664,movie,Captain Marvel,Captain Marvel,0,2019,\N,123,"Action,Adventure,Sci-Fi",both
1358,Cars,tt0317219,movie,Cars,Cars,0,2006,\N,117,"Adventure,Animation,Comedy",both
1402,Cars 2,tt1216475,movie,Cars 2,Cars 2,0,2011,\N,106,"Adventure,Animation,Comedy",both
1418,Cars 3,tt3606752,movie,Cars 3,Cars 3,0,2017,\N,102,"Adventure,Animation,Comedy",both
1425,Charley And The Angel,tt0069866,movie,Charley And The Angel,Charley and the Angel,0,1973,\N,93,"Comedy,Family,Fantasy",both
1427,Charlie The Lonesome Cougar,tt0062793,movie,"Charlie, The Lonesome Cougar","Charlie, the Lonesome Cougar",0,1967,\N,75,"Adventure,Family",both
1428,Cheetah,tt0097053,movie,Cheetah,Cheetah,0,1989,\N,83,"Adventure,Drama,Family",both
1445,Chicken Little,tt0371606,movie,Chicken Little,Chicken Little,0,2005,\N,81,"Adventure,Animation,Comedy",both
1463,Chimpanzee,tt1222815,movie,Chimpanzee,Chimpanzee,0,2012,\N,78,"Documentary,Family",both
1475,Christopher Robin,tt4575576,movie,Christopher Robin,Christopher Robin,0,2018,\N,104,"Adventure,Animation,Comedy",both
1482,"Chronicles Of Narnia: The Lion, The Witch And The Wardrobe",tt0363771,movie,"The Chronicles Of Narnia: The Lion, The Witch And The Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",0,2005,\N,143,"Adventure,Family,Fantasy",both
1491,Cinderella,tt0042332,movie,Cinderella,Cinderella,0,1950,\N,74,"Animation,Family,Fantasy",both
1559,Cinderella,tt1661199,movie,Cinderella,Cinderella,0,2015,\N,105,"Adventure,Drama,Family",both
1648,Coco,tt2380307,movie,Coco,Coco,0,2017,\N,105,"Adventure,Animation,Comedy",both
1675,College Road Trip,tt0997047,movie,College Road Trip,College Road Trip,0,2008,\N,83,"Adventure,Comedy,Drama",both
1678,Condorman,tt0082199,movie,Condorman,Condorman,0,1981,\N,90,"Action,Adventure,Comedy",both
1681,Confessions Of A Teenage Drama Queen,tt0361467,movie,Confessions Of A Teenage Drama Queen,Confessions of a Teenage Drama Queen,0,2004,\N,89,"Comedy,Family,Music",both
1682,Cool Runnings,tt0106611,movie,Cool Runnings,Cool Runnings,0,1993,\N,98,"Adventure,Comedy,Family",both
1697,Cruella,tt3228774,movie,Cruella,Cruella,0,2021,\N,134,"Adventure,Comedy,Crime",both
1698,D2: The Mighty Ducks,tt0109520,movie,D2: The Mighty Ducks,D2: The Mighty Ducks,0,1994,\N,106,"Comedy,Drama,Family",both
1700,D3: The Mighty Ducks,tt0116000,movie,D3: The Mighty Ducks,D3: The Mighty Ducks,0,1996,\N,104,"Action,Comedy,Drama",both
1703,Darby O'Gill And The Little People,tt0052722,movie,Darby O'Gill And The Little People,Darby O'Gill and the Little People,0,1959,\N,93,"Adventure,Family,Fantasy",both
1705,Davy Crockett And The River Pirates,tt0049125,movie,Davy Crockett And The River Pirates,Davy Crockett and the River Pirates,0,1956,\N,81,"Adventure,Comedy,Drama",both
1708,Davy Crockett: King Of The Wild Frontier,tt0047977,movie,Davy Crockett: King Of The Wild Frontier,Davy Crockett: King of the Wild Frontier,0,1955,\N,93,"Adventure,Drama,Family",both
1711,Dinosaur,tt0130623,movie,Dinosaur,Dinosaur,0,2000,\N,82,"Adventure,Animation,Drama",both
1786,Do Dooni Chaar,tt1714832,movie,Do Dooni Chaar,Do Dooni Chaar,0,2010,\N,112,"Comedy,Crime,Drama",both
1788,Doctor Strange In The Multiverse Of Madness,tt9419884,movie,Doctor Strange In The Multiverse Of Madness,Doctor Strange in the Multiverse of Madness,0,2022,\N,\N,"Action,Adventure,Fantasy",both
1790,Dr. Seuss' Horton Hears A Who,tt0451079,movie,Horton Hears A Who!,Horton Hears a Who!,0,2008,\N,86,"Adventure,Animation,Comedy",both
1791,Ducktales: The Movie - Treasure Of The Lost Lamp,tt0099472,movie,Ducktales The Movie: Treasure Of The Lost Lamp,DuckTales the Movie: Treasure of the Lost Lamp,0,1990,\N,74,"Adventure,Animation,Comedy",both
1792,Dumbo,tt0033563,movie,Dumbo,Dumbo,0,1941,\N,64,"Adventure,Animation,Drama",both
1799,Dumbo,tt3861390,movie,Dumbo,Dumbo,0,2019,\N,112,"Adventure,Family,Fantasy",both
1823,Earth,tt0393597,movie,Earth,Earth,0,2007,\N,90,Documentary,both
1868,Eight Below,tt0397313,movie,Eight Below,Eight Below,0,2006,\N,120,"Adventure,Drama,Family",both
1876,Emil And The Detectives,tt0058056,movie,Emil And The Detectives,Emil and the Detectives,0,1964,\N,99,"Comedy,Crime,Drama",both
1885,Encanto,tt2953050,movie,Encanto,Encanto,0,2021,\N,102,"Animation,Comedy,Family",both
1887,Encanto,tt5964462,movie,Encanto,Encanto,0,\N,\N,\N,Drama,both
1892,Enchanted,tt0461770,movie,Enchanted,Enchanted,0,2007,\N,107,"Adventure,Animation,Comedy",both
1906,Endurance,tt0120659,movie,Endurance,Endurance,0,1998,\N,83,"Biography,Drama,Sport",both
1951,Epic,tt0848537,movie,Epic,Epic,0,2013,\N,102,"Action,Adventure,Animation",both
1971,Escape To Witch Mountain,tt0072951,movie,Escape To Witch Mountain,Escape to Witch Mountain,0,1975,\N,97,"Adventure,Family,Fantasy",both
1977,Fantasia,tt0032455,movie,Fantasia,Fantasia,0,1940,\N,125,"Animation,Family,Fantasy",both
2013,Fantasia 2000,tt0120910,movie,Fantasia 2000,Fantasia 2000,0,1999,\N,75,"Animation,Family,Fantasy",both
2022,Ferdinand,tt3411444,movie,Ferdinand,Ferdinand,0,2017,\N,108,"Adventure,Animation,Comedy",both
2033,Finding Dory,tt2277860,movie,Finding Dory,Finding Dory,0,2016,\N,97,"Adventure,Animation,Comedy",both
2048,Finding Nemo,tt0266543,movie,Finding Nemo,Finding Nemo,0,2003,\N,100,"Adventure,Animation,Comedy",both
2061,First Kid,tt0116311,movie,First Kid,First Kid,0,1996,\N,101,"Comedy,Family",both
2062,Flight Of The Navigator,tt0091059,movie,Flight Of The Navigator,Flight of the Navigator,0,1986,\N,90,"Adventure,Comedy,Family",both
2064,Flight Of The Navigator,tt1444308,movie,Flight Of The Navigator,Flight of the Navigator,0,\N,\N,\N,"Adventure,Comedy,Family",both
2067,Flubber,tt0119137,movie,Flubber,Flubber,0,1997,\N,93,"Comedy,Family,Sci-Fi",both
2069,"Follow Me, Boys!",tt0060420,movie,"Follow Me, Boys!","Follow Me, Boys!",0,1966,\N,131,"Drama,Family",both
2070,Frank And Ollie,tt0113104,movie,Frank And Ollie,Frank and Ollie,0,1995,\N,89,Documentary,both
2072,Frankenweenie,tt1142977,movie,Frankenweenie,Frankenweenie,0,2012,\N,87,"Animation,Comedy,Drama",both
2095,Freaky Friday,tt0076054,movie,Freaky Friday,Freaky Friday,0,1976,\N,95,"Comedy,Family,Fantasy",both
2097,Freaky Friday,tt0322330,movie,Freaky Friday,Freaky Friday,0,2003,\N,97,"Comedy,Family,Fantasy",both
2218,Fun And Fancy Free,tt0039404,movie,Fun And Fancy Free,Fun & Fancy Free,0,1947,\N,73,"Adventure,Animation,Comedy",both
2223,George Of The Jungle,tt0119190,movie,George Of The Jungle,George of the Jungle,0,1997,\N,92,"Action,Adventure,Comedy",both
2248,G-Force,tt0436339,movie,G-Force,G-Force,0,2009,\N,88,"Action,Adventure,Animation",both
2256,Ghosts Of The Abyss,tt0297144,movie,Ghosts Of The Abyss,Ghosts of the Abyss,0,2003,\N,61,"Documentary,Family",both
2257,Glory Road,tt0385726,movie,Glory Road,Glory Road,0,2006,\N,118,"Biography,Drama,Sport",both
2261,Greyfriars Bobby: The True Story Of A Dog,tt0054944,movie,Greyfriars Bobby: The True Story Of A Dog,Greyfriars Bobby: The True Story of a Dog,0,1961,\N,91,"Drama,Family",both
2265,Guardians Of The Galaxy Vol. 2,tt3896198,movie,Guardians Of The Galaxy Vol. 2,Guardians of the Galaxy Vol. 2,0,2017,\N,136,"Action,Adventure,Comedy",both
2281,Gus,tt0074599,movie,Gus,Gus,0,1976,\N,96,"Comedy,Family,Sport",both
2304,Hannah Montana & Miley Cyrus: Best Of Both Worlds Concert,tt1127884,movie,Hannah Montana And Miley Cyrus: Best Of Both Worlds Concert,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,0,2008,\N,74,"Documentary,Music",both
2307,Hannah Montana: The Movie,tt1114677,movie,Hannah Montana: The Movie,Hannah Montana: The Movie,0,2009,\N,102,"Comedy,Drama,Family",both
2317,Heavyweights,tt0110006,movie,Heavyweights,Heavyweights,0,1995,\N,100,"Comedy,Drama,Family",both
2319,Heavyweights,tt0780134,movie,Heavyweights,Schwere Jungs,0,2006,\N,94,"Biography,Comedy",both
2359,Herbie Goes Bananas,tt0080861,movie,Herbie Goes Bananas,Herbie Goes Bananas,0,1980,\N,100,"Adventure,Comedy,Family",both
2361,Herbie Goes To Monte Carlo,tt0076137,movie,Herbie Goes To Monte Carlo,Herbie Goes to Monte Carlo,0,1977,\N,105,"Action,Adventure,Comedy",both
2362,Herbie Rides Again,tt0071607,movie,Herbie Rides Again,Herbie Rides Again,0,1974,\N,88,"Comedy,Family,Fantasy",both
2363,Herbie: Fully Loaded,tt0400497,movie,Herbie Fully Loaded,Herbie Fully Loaded,0,2005,\N,101,"Adventure,Comedy,Family",both
