,orig_index,DFL_title,tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,lower_title,averageRating,numVotes,_merge
0,0,101 Dalmatians,tt0115433,movie,101 Dalmatians,101 Dalmatians,1996,103,"Adventure,Comedy,Crime",101 dalmatians,5.7,109712.0,both
1,5,102 Dalmatians,tt0211181,movie,102 Dalmatians,102 Dalmatians,2000,100,"Adventure,Comedy,Family",102 dalmatians,4.8,37056.0,both
2,10,"20,000 Leagues Under the Sea",tt0046672,movie,"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea",1954,127,"Adventure,Drama,Family",20000 leagues under the sea,7.2,33109.0,both
3,24,A Bug's Life,tt0120623,movie,A Bug's Life,A Bug's Life,1998,95,"Adventure,Animation,Comedy",a bugs life,7.2,284538.0,both
4,74,A Christmas Carol,tt1067106,movie,A Christmas Carol,A Christmas Carol,2009,96,"Adventure,Animation,Comedy",a christmas carol,6.8,112582.0,both
5,126,A Far Off Place,tt0106868,movie,A Far Off Place,A Far Off Place,1993,100,"Adventure,Drama,Family",a far off place,6.5,3556.0,both
6,127,A Goofy Movie,tt0113198,movie,A Goofy Movie,A Goofy Movie,1995,78,"Adventure,Animation,Comedy",a goofy movie,6.9,52058.0,both
7,135,A Kid In King Arthur's Court,tt0113538,movie,A Kid in King Arthur's Court,A Kid in King Arthur's Court,1995,89,"Adventure,Comedy,Family",a kid in king arthurs court,4.7,6159.0,both
8,143,A Tiger Walks,tt0058657,movie,A Tiger Walks,A Tiger Walks,1964,91,"Drama,Family",a tiger walks,6.3,349.0,both
9,147,A Wrinkle in Time,tt1620680,movie,A Wrinkle in Time,A Wrinkle in Time,2018,109,"Adventure,Family,Fantasy",a wrinkle in time,4.2,44220.0,both
10,158,Adventures in Babysitting,tt0092513,movie,Adventures in Babysitting,Adventures in Babysitting,1987,102,"Adventure,Comedy,Crime",adventures in babysitting,6.9,42893.0,both
11,187,African Cats,tt1223236,movie,African Cats,African Cats,2011,89,"Adventure,Documentary",african cats,7.5,6446.0,both
12,190,Aladdin,tt0103639,movie,Aladdin,Aladdin,1992,90,"Adventure,Animation,Comedy",aladdin,8.1,397857.0,both
13,244,Aladdin,tt6139732,movie,Aladdin,Aladdin,2019,128,"Adventure,Comedy,Family",aladdin,6.9,254894.0,both
