,nconst,director,primaryName,birthYear,tconst,category,primaryTitle,runtimeMinutes,genres,mpaarating,rlsdt_dt,startYear,rlsdt_mo,rlsdt_day,rlsdt_daynm,budget_adj,worldwide_adj,ROI,averageRating,numVotes,_merge,age
1,nm0000110,director,Kenneth Branagh,1960.0,tt0113403,director,A Midwinter's Tale,99.0,Comedy,R,1996-02-16,1995.0,2.0,16.0,Friday,0.0,469571.0,inf,7.2,2577.0,both,35.0
3,nm0000110,director,Kenneth Branagh,1960.0,tt0450972,director,As You Like It,127.0,"Comedy,Drama,Romance",PG,2007-09-21,2006.0,9.0,21.0,Friday,0.0,563162.0,inf,6.1,3354.0,both,46.0
4,nm0000110,director,Kenneth Branagh,1960.0,tt0475331,director,The Magic Flute,135.0,"Drama,Musical,Romance",error,2006-12-13,2006.0,12.0,13.0,Wednesday,27000000.0,2000853.0,-0.9258943333333334,6.5,1236.0,both,46.0
5,nm0000110,director,Kenneth Branagh,1960.0,tt0800369,director,Thor,115.0,"Action,Adventure,Fantasy",PG-13,2011-05-06,2011.0,5.0,6.0,Friday,150000000.0,449326618.0,1.9955107866666664,7.0,810857.0,both,51.0
7,nm0000110,director,Kenneth Branagh,1960.0,tt12789558,director,Belfast,98.0,"Biography,Drama,History",PG-13,2021-11-12,2021.0,11.0,12.0,Friday,0.0,46922870.0,inf,7.3,44239.0,both,61.0
8,nm0000110,director,Kenneth Branagh,1960.0,tt1661199,director,Cinderella,105.0,"Adventure,Drama,Family",PG,2015-03-13,2015.0,3.0,13.0,Friday,95000000.0,542358331.0,4.709035063157895,6.9,173300.0,both,55.0
9,nm0000110,director,Kenneth Branagh,1960.0,tt3089630,director,Artemis Fowl,95.0,"Adventure,Family,Fantasy",PG,2020-06-12,2020.0,6.0,12.0,Friday,0.0,0.0,,4.2,27155.0,both,60.0
10,nm0000110,director,Kenneth Branagh,1960.0,tt5226844,director,Branagh Theatre Live: The Winter's Tale,180.0,Drama,error,2019-12-04,2015.0,12.0,4.0,Wednesday,0.0,141143.0,inf,7.8,269.0,both,55.0
11,nm0000110,director,Kenneth Branagh,1960.0,tt5943392,director,Branagh Theatre Live: Romeo and Juliet,165.0,Romance,error,2016-11-18,2016.0,11.0,18.0,Friday,0.0,1191021.0,inf,8.2,377.0,both,56.0
12,nm0000116,director,James Cameron,1954.0,tt0082910,director,Piranha II: The Spawning,94.0,"Drama,Horror,Romance",R,1982-11-05,1981.0,11.0,5.0,Friday,145786.0,0.0,-1.0,3.7,8575.0,both,27.0
13,nm0000116,director,James Cameron,1954.0,tt0088247,director,The Terminator,107.0,"Action,Sci-Fi",R,1984-10-26,1984.0,10.0,26.0,Friday,6400000.0,78371200.0,11.2455,8.1,835842.0,both,30.0
14,nm0000116,director,James Cameron,1954.0,tt0090605,director,Aliens,137.0,"Action,Adventure,Sci-Fi",R,1986-07-18,1986.0,7.0,18.0,Friday,18500000.0,131060248.0,6.08433772972973,8.4,695168.0,both,32.0
15,nm0000116,director,James Cameron,1954.0,tt0096754,director,The Abyss,140.0,"Adventure,Drama,Mystery",PG-13,1989-08-09,1989.0,8.0,9.0,Wednesday,70000000.0,90000098.0,0.2857156857142857,7.5,173976.0,both,35.0
16,nm0000116,director,James Cameron,1954.0,tt0103064,director,Terminator 2: Judgment Day,137.0,"Action,Sci-Fi",R,1991-07-03,1991.0,7.0,3.0,Wednesday,102000000.0,520881154.0,4.106677980392157,8.6,1060901.0,both,37.0
17,nm0000116,director,James Cameron,1954.0,tt0111503,director,True Lies,141.0,"Action,Comedy,Thriller",R,1994-07-15,1994.0,7.0,15.0,Friday,115000000.0,378882411.0,2.2946296608695653,7.3,252411.0,both,40.0
19,nm0000116,director,James Cameron,1954.0,tt0120338,director,Titanic,194.0,"Drama,Romance",PG-13,1997-12-19,1997.0,12.0,19.0,Friday,200000000.0,2201647264.0,10.00823632,7.9,1125564.0,both,43.0
21,nm0000116,director,James Cameron,1954.0,tt0297144,director,Ghosts of the Abyss,61.0,"Documentary,Family",G,2003-05-23,2003.0,5.0,23.0,Friday,13000000.0,27570076.0,1.1207750769230769,6.8,5384.0,both,49.0
23,nm0000116,director,James Cameron,1954.0,tt0499549,director,Avatar,162.0,"Action,Adventure,Fantasy",PG-13,2009-12-18,2009.0,12.0,18.0,Friday,237000000.0,2847379794.0,11.014260734177215,7.9,1184487.0,both,55.0
39,nm0000165,director,Ron Howard,1954.0,tt0084412,director,Night Shift,106.0,Comedy,R,1982-07-30,1982.0,7.0,30.0,Friday,8100000.0,21095638.0,1.6043997530864198,6.5,15748.0,both,28.0
40,nm0000165,director,Ron Howard,1954.0,tt0088161,director,Splash,111.0,"Comedy,Fantasy,Romance",PG,1984-03-09,1984.0,3.0,9.0,Friday,11000000.0,69821334.0,5.347394,6.3,75636.0,both,30.0
41,nm0000165,director,Ron Howard,1954.0,tt0088933,director,Cocoon,117.0,"Comedy,Drama,Sci-Fi",PG-13,1985-06-21,1985.0,6.0,21.0,Friday,17500000.0,85313124.0,3.875035657142857,6.7,62147.0,both,31.0
42,nm0000165,director,Ron Howard,1954.0,tt0091159,director,Gung Ho,112.0,"Comedy,Drama",PG-13,1986-03-14,1986.0,3.0,14.0,Friday,18000000.0,36611610.0,1.0339783333333334,6.3,12855.0,both,32.0
43,nm0000165,director,Ron Howard,1954.0,tt0096446,director,Willow,126.0,"Action,Adventure,Drama",PG,1988-05-20,1988.0,5.0,20.0,Friday,35000000.0,57269863.0,0.6362818,7.2,110059.0,both,34.0
44,nm0000165,director,Ron Howard,1954.0,tt0098067,director,Parenthood,124.0,"Comedy,Drama",PG-13,1989-08-02,1989.0,8.0,2.0,Wednesday,20000000.0,126297830.0,5.3148915,7.0,48731.0,both,35.0
45,nm0000165,director,Ron Howard,1954.0,tt0101393,director,Backdraft,137.0,"Action,Crime,Drama",R,1991-05-24,1991.0,5.0,24.0,Friday,40000000.0,152368585.0,2.809214625,6.7,78448.0,both,37.0
46,nm0000165,director,Ron Howard,1954.0,tt0104231,director,Far and Away,140.0,"Adventure,Drama,Romance",PG-13,1992-05-22,1992.0,5.0,22.0,Friday,60000000.0,137783840.0,1.2963973333333334,6.6,62528.0,both,38.0
47,nm0000165,director,Ron Howard,1954.0,tt0110771,director,The Paper,112.0,"Comedy,Drama",R,1994-03-25,1994.0,3.0,25.0,Friday,6000000.0,48424341.0,7.0707235,6.6,14011.0,both,40.0
48,nm0000165,director,Ron Howard,1954.0,tt0112384,director,Apollo 13,140.0,"Adventure,Drama,History",PG,1995-06-30,1995.0,6.0,30.0,Friday,52000000.0,355237933.0,5.831498711538462,7.7,287739.0,both,41.0
49,nm0000165,director,Ron Howard,1954.0,tt0117438,director,Ransom,121.0,"Action,Crime,Thriller",R,1996-11-08,1996.0,11.0,8.0,Friday,80000000.0,309492681.0,2.8686585125,6.7,125869.0,both,42.0
50,nm0000165,director,Ron Howard,1954.0,tt0131369,director,Edtv,122.0,"Comedy,Drama",PG-13,1999-03-26,1999.0,3.0,26.0,Friday,80000000.0,35242897.0,-0.5594637875,6.1,43191.0,both,45.0
51,nm0000165,director,Ron Howard,1954.0,tt0170016,director,How the Grinch Stole Christmas,104.0,"Comedy,Family,Fantasy",PG,2000-11-17,2000.0,11.0,17.0,Friday,123000000.0,345823032.0,1.8115693658536585,6.2,239041.0,both,46.0
54,nm0000165,director,Ron Howard,1954.0,tt0268978,director,A Beautiful Mind,135.0,"Biography,Drama",PG-13,2002-01-04,2001.0,1.0,4.0,Friday,58000000.0,316791257.0,4.461918224137931,8.2,903847.0,both,47.0
55,nm0000165,director,Ron Howard,1954.0,tt0338188,director,The Missing,137.0,"Adventure,Thriller,Western",R,2003-11-26,2003.0,11.0,26.0,Wednesday,60000000.0,38364277.0,-0.3605953833333333,6.5,35482.0,both,49.0
56,nm0000165,director,Ron Howard,1954.0,tt0352248,director,Cinderella Man,144.0,"Biography,Drama,History",PG-13,2005-06-03,2005.0,6.0,3.0,Friday,88000000.0,108539911.0,0.2334080795454545,8.0,184481.0,both,51.0
57,nm0000165,director,Ron Howard,1954.0,tt0382625,director,The Da Vinci Code,149.0,"Mystery,Thriller",PG-13,2006-05-19,2006.0,5.0,19.0,Friday,125000000.0,760006945.0,5.08005556,6.6,423424.0,both,52.0
60,nm0000165,director,Ron Howard,1954.0,tt0808151,director,Angels & Demons,138.0,"Action,Mystery,Thriller",PG-13,2009-05-15,2009.0,5.0,15.0,Friday,150000000.0,485930816.0,2.2395387733333334,6.7,287786.0,both,55.0
61,nm0000165,director,Ron Howard,1954.0,tt0870111,director,Frost/Nixon,122.0,"Biography,Drama,History",R,2009-01-23,2008.0,1.0,23.0,Friday,25000000.0,27426335.0,0.0970534,7.7,107032.0,both,54.0
66,nm0000165,director,Ron Howard,1954.0,tt1390411,director,In the Heart of the Sea,122.0,"Action,Adventure,Biography",PG-13,2015-12-11,2015.0,12.0,11.0,Friday,100000000.0,93920758.0,-0.06079242,6.9,135038.0,both,61.0
67,nm0000165,director,Ron Howard,1954.0,tt1578275,director,The Dilemma,111.0,"Comedy,Drama",PG-13,2011-01-14,2011.0,1.0,14.0,Friday,70000000.0,69721966.0,-0.0039719142857142,5.3,53792.0,both,57.0
71,nm0000165,director,Ron Howard,1954.0,tt1979320,director,Rush,123.0,"Action,Biography,Drama",R,2013-09-27,2013.0,9.0,27.0,Friday,38000000.0,96983009.0,1.552184447368421,8.1,465125.0,both,59.0
72,nm0000165,director,Ron Howard,1954.0,tt2366572,director,Made in America,93.0,"Documentary,Music",error,2014-07-11,2013.0,7.0,11.0,Friday,0.0,0.0,,4.8,672.0,both,59.0
73,nm0000165,director,Ron Howard,1954.0,tt2531318,director,The Beatles: Eight Days a Week - The Touring Years,106.0,"Documentary,History,Music",Not Rated,2016-09-15,2016.0,9.0,15.0,Thursday,0.0,12283966.0,inf,7.8,12728.0,both,62.0
