,nconst,director,primaryName,birthYear,tconst,category
0,nm0000110,director,Kenneth Branagh,1960,tt0105506,director
1,nm0000110,director,Kenneth Branagh,1960,tt0113403,director
2,nm0000110,director,Kenneth Branagh,1960,tt0357865,director
3,nm0000110,director,Kenneth Branagh,1960,tt0450972,director
4,nm0000110,director,Kenneth Branagh,1960,tt0475331,director
5,nm0000110,director,Kenneth Branagh,1960,tt0800369,director
6,nm0000110,director,Kenneth Branagh,1960,tt11229040,director
7,nm0000110,director,Kenneth Branagh,1960,tt12789558,director
8,nm0000110,director,Kenneth Branagh,1960,tt1661199,director
9,nm0000110,director,Kenneth Branagh,1960,tt3089630,director
10,nm0000110,director,Kenneth Branagh,1960,tt5226844,director
11,nm0000110,director,Kenneth Branagh,1960,tt5943392,director
12,nm0000116,director,James Cameron,1954,tt0082910,director
13,nm0000116,director,James Cameron,1954,tt0088247,director
14,nm0000116,director,James Cameron,1954,tt0090605,director
15,nm0000116,director,James Cameron,1954,tt0096754,director
16,nm0000116,director,James Cameron,1954,tt0103064,director
17,nm0000116,director,James Cameron,1954,tt0111503,director
18,nm0000116,director,James Cameron,1954,tt0117880,director
19,nm0000116,director,James Cameron,1954,tt0120338,director
20,nm0000116,director,James Cameron,1954,tt0251488,director
21,nm0000116,director,James Cameron,1954,tt0297144,director
22,nm0000116,director,James Cameron,1954,tt0331475,director
23,nm0000116,director,James Cameron,1954,tt0499549,director
24,nm0000116,director,James Cameron,1954,tt0554573,director
25,nm0000116,director,James Cameron,1954,tt15738638,director
26,nm0000116,director,James Cameron,1954,tt15739442,director
27,nm0000116,director,James Cameron,1954,tt15739482,director
28,nm0000116,director,James Cameron,1954,tt1582272,director
29,nm0000116,director,James Cameron,1954,tt1630029,director
30,nm0000116,director,James Cameron,1954,tt1757678,director
31,nm0000116,director,James Cameron,1954,tt2475426,director
32,nm0000116,director,James Cameron,1954,tt3095356,director
33,nm0000116,director,James Cameron,1954,tt5637536,director
34,nm0000116,director,James Cameron,1954,tt6404142,director
35,nm0000165,director,Ron Howard,1954,tt0064218,director
36,nm0000165,director,Ron Howard,1954,tt0077374,director
37,nm0000165,director,Ron Howard,1954,tt0081526,director
38,nm0000165,director,Ron Howard,1954,tt0083198,director
39,nm0000165,director,Ron Howard,1954,tt0084412,director
40,nm0000165,director,Ron Howard,1954,tt0088161,director
41,nm0000165,director,Ron Howard,1954,tt0088933,director
42,nm0000165,director,Ron Howard,1954,tt0091159,director
43,nm0000165,director,Ron Howard,1954,tt0096446,director
44,nm0000165,director,Ron Howard,1954,tt0098067,director
45,nm0000165,director,Ron Howard,1954,tt0101393,director
46,nm0000165,director,Ron Howard,1954,tt0104231,director
47,nm0000165,director,Ron Howard,1954,tt0110771,director
48,nm0000165,director,Ron Howard,1954,tt0112384,director
49,nm0000165,director,Ron Howard,1954,tt0117438,director
50,nm0000165,director,Ron Howard,1954,tt0131369,director
51,nm0000165,director,Ron Howard,1954,tt0170016,director
52,nm0000165,director,Ron Howard,1954,tt0250019,director
53,nm0000165,director,Ron Howard,1954,tt0263662,director
54,nm0000165,director,Ron Howard,1954,tt0268978,director
55,nm0000165,director,Ron Howard,1954,tt0338188,director
56,nm0000165,director,Ron Howard,1954,tt0352248,director
57,nm0000165,director,Ron Howard,1954,tt0382625,director
58,nm0000165,director,Ron Howard,1954,tt0402089,director
59,nm0000165,director,Ron Howard,1954,tt0402411,director
60,nm0000165,director,Ron Howard,1954,tt0808151,director
61,nm0000165,director,Ron Howard,1954,tt0870111,director
62,nm0000165,director,Ron Howard,1954,tt10551162,director
63,nm0000165,director,Ron Howard,1954,tt11708502,director
64,nm0000165,director,Ron Howard,1954,tt12156974,director
65,nm0000165,director,Ron Howard,1954,tt12262116,director
66,nm0000165,director,Ron Howard,1954,tt1390411,director
67,nm0000165,director,Ron Howard,1954,tt1578275,director
68,nm0000165,director,Ron Howard,1954,tt1616155,director
69,nm0000165,director,Ron Howard,1954,tt1620775,director
70,nm0000165,director,Ron Howard,1954,tt1730763,director
71,nm0000165,director,Ron Howard,1954,tt1979320,director
72,nm0000165,director,Ron Howard,1954,tt2366572,director
73,nm0000165,director,Ron Howard,1954,tt2531318,director
74,nm0000165,director,Ron Howard,1954,tt3062096,director
75,nm0000165,director,Ron Howard,1954,tt3778644,director
76,nm0000165,director,Ron Howard,1954,tt5161458,director
77,nm0000165,director,Ron Howard,1954,tt5795154,director
78,nm0000165,director,Ron Howard,1954,tt5985794,director
79,nm0000165,director,Ron Howard,1954,tt6173448,director
80,nm0000165,director,Ron Howard,1954,tt6772802,director
81,nm0000165,director,Ron Howard,1954,tt6964076,director
82,nm0000165,director,Ron Howard,1954,tt8629752,director
83,nm0000165,director,Ron Howard,1954,tt9735350,director
84,nm0000186,director,David Lynch,1946,tt0060984,director
85,nm0000186,director,David Lynch,1946,tt0062653,director
86,nm0000186,director,David Lynch,1946,tt0065794,director
87,nm0000186,director,David Lynch,1946,tt0074486,director
88,nm0000186,director,David Lynch,1946,tt0080678,director
89,nm0000186,director,David Lynch,1946,tt0087182,director
90,nm0000186,director,David Lynch,1946,tt0090756,director
91,nm0000186,director,David Lynch,1946,tt0099844,director
92,nm0000186,director,David Lynch,1946,tt0100935,director
93,nm0000186,director,David Lynch,1946,tt0105665,director
94,nm0000186,director,David Lynch,1946,tt0116922,director
95,nm0000186,director,David Lynch,1946,tt0166896,director
96,nm0000186,director,David Lynch,1946,tt0166924,director
97,nm0000186,director,David Lynch,1946,tt0190327,director
98,nm0000186,director,David Lynch,1946,tt0278784,director
99,nm0000186,director,David Lynch,1946,tt0306714,director
100,nm0000186,director,David Lynch,1946,tt0347840,director
101,nm0000186,director,David Lynch,1946,tt0357173,director
102,nm0000186,director,David Lynch,1946,tt0460829,director
103,nm0000186,director,David Lynch,1946,tt0605630,director
104,nm0000186,director,David Lynch,1946,tt0605632,director
105,nm0000186,director,David Lynch,1946,tt0665409,director
106,nm0000186,director,David Lynch,1946,tt0734815,director
107,nm0000186,director,David Lynch,1946,tt0734817,director
108,nm0000186,director,David Lynch,1946,tt0734824,director
109,nm0000186,director,David Lynch,1946,tt0734826,director
110,nm0000186,director,David Lynch,1946,tt0734843,director
111,nm0000186,director,David Lynch,1946,tt10911596,director
112,nm0000186,director,David Lynch,1946,tt10912536,director
113,nm0000186,director,David Lynch,1946,tt10912540,director
114,nm0000186,director,David Lynch,1946,tt10912544,director
115,nm0000186,director,David Lynch,1946,tt11837106,director
116,nm0000186,director,David Lynch,1946,tt12068420,director
117,nm0000186,director,David Lynch,1946,tt12068476,director
118,nm0000186,director,David Lynch,1946,tt12068530,director
119,nm0000186,director,David Lynch,1946,tt12068560,director
120,nm0000186,director,David Lynch,1946,tt1230552,director
121,nm0000186,director,David Lynch,1946,tt12362474,director
122,nm0000186,director,David Lynch,1946,tt12749580,director
123,nm0000186,director,David Lynch,1946,tt12762190,director
124,nm0000186,director,David Lynch,1946,tt12837712,director
125,nm0000186,director,David Lynch,1946,tt13569800,director
126,nm0000186,director,David Lynch,1946,tt13583432,director
127,nm0000186,director,David Lynch,1946,tt13583434,director
128,nm0000186,director,David Lynch,1946,tt13583436,director
129,nm0000186,director,David Lynch,1946,tt13583438,director
130,nm0000186,director,David Lynch,1946,tt13583440,director
131,nm0000186,director,David Lynch,1946,tt13583442,director
132,nm0000186,director,David Lynch,1946,tt13583444,director
133,nm0000186,director,David Lynch,1946,tt13583446,director
134,nm0000186,director,David Lynch,1946,tt13583448,director
135,nm0000186,director,David Lynch,1946,tt13583450,director
136,nm0000186,director,David Lynch,1946,tt13583452,director
137,nm0000186,director,David Lynch,1946,tt13583454,director
138,nm0000186,director,David Lynch,1946,tt14301350,director
139,nm0000186,director,David Lynch,1946,tt14301382,director
140,nm0000186,director,David Lynch,1946,tt14329198,director
141,nm0000186,director,David Lynch,1946,tt14329208,director
142,nm0000186,director,David Lynch,1946,tt14329218,director
143,nm0000186,director,David Lynch,1946,tt14623780,director
144,nm0000186,director,David Lynch,1946,tt15618018,director
145,nm0000186,director,David Lynch,1946,tt1619856,director
146,nm0000186,director,David Lynch,1946,tt1712185,director
147,nm0000186,director,David Lynch,1946,tt2061818,director
148,nm0000186,director,David Lynch,1946,tt2133214,director
149,nm0000186,director,David Lynch,1946,tt2481878,director
150,nm0000186,director,David Lynch,1946,tt2816036,director
151,nm0000186,director,David Lynch,1946,tt3225442,director
152,nm0000186,director,David Lynch,1946,tt3367188,director
153,nm0000186,director,David Lynch,1946,tt3539476,director
154,nm0000186,director,David Lynch,1946,tt4108304,director
155,nm0000186,director,David Lynch,1946,tt4108308,director
156,nm0000186,director,David Lynch,1946,tt4108310,director
157,nm0000186,director,David Lynch,1946,tt4108312,director
158,nm0000186,director,David Lynch,1946,tt4108314,director
159,nm0000186,director,David Lynch,1946,tt4108316,director
160,nm0000186,director,David Lynch,1946,tt4108318,director
161,nm0000186,director,David Lynch,1946,tt4108320,director
162,nm0000186,director,David Lynch,1946,tt4108322,director
163,nm0000186,director,David Lynch,1946,tt4337908,director
164,nm0000186,director,David Lynch,1946,tt4337928,director
165,nm0000186,director,David Lynch,1946,tt4706126,director
166,nm0000186,director,David Lynch,1946,tt4706130,director
167,nm0000186,director,David Lynch,1946,tt4706132,director
168,nm0000186,director,David Lynch,1946,tt4706138,director
169,nm0000186,director,David Lynch,1946,tt4706140,director
170,nm0000186,director,David Lynch,1946,tt4706146,director
171,nm0000186,director,David Lynch,1946,tt4706148,director
172,nm0000186,director,David Lynch,1946,tt4706152,director
173,nm0000186,director,David Lynch,1946,tt4706164,director
174,nm0000186,director,David Lynch,1946,tt5334704,director
175,nm0000186,director,David Lynch,1946,tt6039802,director
176,nm0000186,director,David Lynch,1946,tt6892972,director
177,nm0000186,director,David Lynch,1946,tt6953854,director
178,nm0000186,director,David Lynch,1946,tt7146404,director
179,nm0000186,director,David Lynch,1946,tt8021102,director
180,nm0000186,director,David Lynch,1946,tt8021436,director
181,nm0000186,director,David Lynch,1946,tt8021558,director
182,nm0000186,director,David Lynch,1946,tt8021642,director
183,nm0000186,director,David Lynch,1946,tt8021710,director
184,nm0000186,director,David Lynch,1946,tt8021748,director
185,nm0000186,director,David Lynch,1946,tt8021786,director
186,nm0000186,director,David Lynch,1946,tt8021794,director
187,nm0000186,director,David Lynch,1946,tt8021798,director
188,nm0000186,director,David Lynch,1946,tt8021842,director
189,nm0000186,director,David Lynch,1946,tt8263956,director
190,nm0000186,director,David Lynch,1946,tt8768198,director
191,nm0000186,director,David Lynch,1946,tt8796456,director
192,nm0000186,director,David Lynch,1946,tt9287342,director
193,nm0000200,director,Bill Paxton,1955,tt0388980,director
194,nm0000200,director,Bill Paxton,1955,tt0694965,director
195,nm0000200,director,Bill Paxton,1955,tt1929385,director
196,nm0000229,director,Steven Spielberg,1946,tt0054670,director
197,nm0000229,director,Steven Spielberg,1946,tt0054857,director
198,nm0000229,director,Steven Spielberg,1946,tt0059181,director
199,nm0000229,director,Steven Spielberg,1946,tt0064010,director
200,nm0000229,director,Steven Spielberg,1946,tt0064725,director
201,nm0000229,director,Steven Spielberg,1946,tt0066932,director
202,nm0000229,director,Steven Spielberg,1946,tt0067023,director
203,nm0000229,director,Steven Spielberg,1946,tt0069298,director
204,nm0000229,director,Steven Spielberg,1946,tt0070638,director
205,nm0000229,director,Steven Spielberg,1946,tt0072226,director
206,nm0000229,director,Steven Spielberg,1946,tt0073195,director
207,nm0000229,director,Steven Spielberg,1946,tt0075860,director
208,nm0000229,director,Steven Spielberg,1946,tt0078723,director
209,nm0000229,director,Steven Spielberg,1946,tt0082971,director
210,nm0000229,director,Steven Spielberg,1946,tt0083866,director
211,nm0000229,director,Steven Spielberg,1946,tt0086491,director
212,nm0000229,director,Steven Spielberg,1946,tt0087469,director
213,nm0000229,director,Steven Spielberg,1946,tt0088939,director
214,nm0000229,director,Steven Spielberg,1946,tt0092965,director
215,nm0000229,director,Steven Spielberg,1946,tt0096794,director
216,nm0000229,director,Steven Spielberg,1946,tt0097576,director
217,nm0000229,director,Steven Spielberg,1946,tt0100876,director
218,nm0000229,director,Steven Spielberg,1946,tt0102057,director
219,nm0000229,director,Steven Spielberg,1946,tt0107290,director
220,nm0000229,director,Steven Spielberg,1946,tt0108052,director
221,nm0000229,director,Steven Spielberg,1946,tt0118607,director
222,nm0000229,director,Steven Spielberg,1946,tt0119567,director
223,nm0000229,director,Steven Spielberg,1946,tt0120815,director
224,nm0000229,director,Steven Spielberg,1946,tt0124142,director
225,nm0000229,director,Steven Spielberg,1946,tt0181689,director
226,nm0000229,director,Steven Spielberg,1946,tt0212720,director
227,nm0000229,director,Steven Spielberg,1946,tt0236824,director
228,nm0000229,director,Steven Spielberg,1946,tt0249968,director
229,nm0000229,director,Steven Spielberg,1946,tt0264464,director
230,nm0000229,director,Steven Spielberg,1946,tt0273868,director
231,nm0000229,director,Steven Spielberg,1946,tt0362227,director
232,nm0000229,director,Steven Spielberg,1946,tt0367882,director
233,nm0000229,director,Steven Spielberg,1946,tt0407304,director
234,nm0000229,director,Steven Spielberg,1946,tt0408306,director
235,nm0000229,director,Steven Spielberg,1946,tt0443272,director
236,nm0000229,director,Steven Spielberg,1946,tt0511096,director
237,nm0000229,director,Steven Spielberg,1946,tt0511124,director
238,nm0000229,director,Steven Spielberg,1946,tt0641946,director
239,nm0000229,director,Steven Spielberg,1946,tt0660799,director
240,nm0000229,director,Steven Spielberg,1946,tt0668233,director
241,nm0000229,director,Steven Spielberg,1946,tt0762451,director
242,nm0000229,director,Steven Spielberg,1946,tt0762452,director
243,nm0000229,director,Steven Spielberg,1946,tt0983193,director
244,nm0000229,director,Steven Spielberg,1946,tt1287857,director
245,nm0000229,director,Steven Spielberg,1946,tt14208870,director
246,nm0000229,director,Steven Spielberg,1946,tt1568911,director
247,nm0000229,director,Steven Spielberg,1946,tt1594575,director
248,nm0000229,director,Steven Spielberg,1946,tt1677720,director
249,nm0000229,director,Steven Spielberg,1946,tt18334932,director
250,nm0000229,director,Steven Spielberg,1946,tt3581652,director
251,nm0000229,director,Steven Spielberg,1946,tt3682448,director
252,nm0000229,director,Steven Spielberg,1946,tt3691740,director
253,nm0000229,director,Steven Spielberg,1946,tt6294822,director
254,nm0000229,director,Steven Spielberg,1946,tt7763324,director
255,nm0000229,director,Steven Spielberg,1946,tt8295436,director
256,nm0000229,director,Steven Spielberg,1946,tt8430788,director
257,nm0000229,director,Steven Spielberg,1946,tt8886044,director
258,nm0000318,director,Tim Burton,1958,tt0084868,director
259,nm0000318,director,Tim Burton,1958,tt0087291,director
260,nm0000318,director,Tim Burton,1958,tt0089791,director
261,nm0000318,director,Tim Burton,1958,tt0094721,director
262,nm0000318,director,Tim Burton,1958,tt0096895,director
263,nm0000318,director,Tim Burton,1958,tt0099487,director
264,nm0000318,director,Tim Burton,1958,tt0103776,director
265,nm0000318,director,Tim Burton,1958,tt0109707,director
266,nm0000318,director,Tim Burton,1958,tt0116996,director
267,nm0000318,director,Tim Burton,1958,tt0121164,director
268,nm0000318,director,Tim Burton,1958,tt0125603,director
269,nm0000318,director,Tim Burton,1958,tt0133152,director
270,nm0000318,director,Tim Burton,1958,tt0162661,director
271,nm0000318,director,Tim Burton,1958,tt0249567,director
272,nm0000318,director,Tim Burton,1958,tt0294940,director
273,nm0000318,director,Tim Burton,1958,tt0319061,director
274,nm0000318,director,Tim Burton,1958,tt0367594,director
275,nm0000318,director,Tim Burton,1958,tt0367989,director
276,nm0000318,director,Tim Burton,1958,tt0408236,director
277,nm0000318,director,Tim Burton,1958,tt0508431,director
278,nm0000318,director,Tim Burton,1958,tt0913955,director
279,nm0000318,director,Tim Burton,1958,tt1014759,director
280,nm0000318,director,Tim Burton,1958,tt1077368,director
281,nm0000318,director,Tim Burton,1958,tt1126590,director
282,nm0000318,director,Tim Burton,1958,tt1142977,director
283,nm0000318,director,Tim Burton,1958,tt14077386,director
284,nm0000318,director,Tim Burton,1958,tt14077394,director
285,nm0000318,director,Tim Burton,1958,tt14077396,director
286,nm0000318,director,Tim Burton,1958,tt14077400,director
287,nm0000318,director,Tim Burton,1958,tt14077402,director
288,nm0000318,director,Tim Burton,1958,tt14077404,director
289,nm0000318,director,Tim Burton,1958,tt14077406,director
290,nm0000318,director,Tim Burton,1958,tt14077408,director
291,nm0000318,director,Tim Burton,1958,tt1935859,director
292,nm0000318,director,Tim Burton,1958,tt2049403,director
293,nm0000318,director,Tim Burton,1958,tt3861390,director
294,nm0000318,director,Tim Burton,1958,tt5186094,director
295,nm0000318,director,Tim Burton,1958,tt5186096,director
296,nm0000318,director,Tim Burton,1958,tt5186106,director
297,nm0000318,director,Tim Burton,1958,tt5186114,director
298,nm0000318,director,Tim Burton,1958,tt7185442,director
299,nm0000318,director,Tim Burton,1958,tt7185512,director
300,nm0000318,director,Tim Burton,1958,tt7185564,director
301,nm0000318,director,Tim Burton,1958,tt7185664,director
302,nm0000318,director,Tim Burton,1958,tt7185756,director
303,nm0000318,director,Tim Burton,1958,tt7185764,director
304,nm0000540,director,Russ Meyer,1922,tt0052920,director
305,nm0000540,director,Russ Meyer,1922,tt0054110,director
306,nm0000540,director,Russ Meyer,1922,tt0054852,director
307,nm0000540,director,Russ Meyer,1922,tt0054859,director
308,nm0000540,director,Russ Meyer,1922,tt0056692,director
309,nm0000540,director,Russ Meyer,1922,tt0057047,director
310,nm0000540,director,Russ Meyer,1922,tt0057133,director
311,nm0000540,director,Russ Meyer,1922,tt0058088,director
312,nm0000540,director,Russ Meyer,1922,tt0058301,director
313,nm0000540,director,Russ Meyer,1922,tt0059170,director
314,nm0000540,director,Russ Meyer,1922,tt0059474,director
315,nm0000540,director,Russ Meyer,1922,tt0059477,director
316,nm0000540,director,Russ Meyer,1922,tt0060712,director
317,nm0000540,director,Russ Meyer,1922,tt0061504,director
