,tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres
1,tt0113403,movie,A Midwinter's Tale,1995,99,Comedy
3,tt0450972,movie,As You Like It,2006,127,"Comedy,Drama,Romance"
4,tt0475331,movie,The Magic Flute,2006,135,"Drama,Musical,Romance"
5,tt0800369,movie,Thor,2011,115,"Action,Adventure,Fantasy"
6,tt11229040,movie,Untitled Bee Gees Biopic,2022,\N,"Biography,Drama,Music"
7,tt12789558,movie,Belfast,2021,98,"Biography,Drama,History"
8,tt1661199,movie,Cinderella,2015,105,"Adventure,Drama,Family"
9,tt3089630,movie,Artemis Fowl,2020,95,"Adventure,Family,Fantasy"
10,tt5226844,movie,Branagh Theatre Live: The Winter's Tale,2015,180,Drama
11,tt5943392,movie,Branagh Theatre Live: Romeo and Juliet,2016,165,Romance
12,tt0082910,movie,Piranha II: The Spawning,1981,94,"Drama,Horror,Romance"
13,tt0088247,movie,The Terminator,1984,107,"Action,Sci-Fi"
14,tt0090605,movie,Aliens,1986,137,"Action,Adventure,Sci-Fi"
15,tt0096754,movie,The Abyss,1989,140,"Adventure,Drama,Mystery"
16,tt0103064,movie,Terminator 2: Judgment Day,1991,137,"Action,Sci-Fi"
17,tt0111503,movie,True Lies,1994,141,"Action,Comedy,Thriller"
19,tt0120338,movie,Titanic,1997,194,"Drama,Romance"
21,tt0297144,movie,Ghosts of the Abyss,2003,61,"Documentary,Family"
23,tt0499549,movie,Avatar,2009,162,"Action,Adventure,Fantasy"
28,tt1582272,movie,The Last Train from Hiroshima: The Survivors Look Back,\N,\N,"Drama,History"
29,tt1630029,movie,Avatar 2,2022,\N,"Action,Adventure,Sci-Fi"
30,tt1757678,movie,Avatar 3,2024,\N,"Action,Adventure,Fantasy"
31,tt2475426,movie,The Informationist,\N,\N,Thriller
32,tt3095356,movie,Avatar 4,2026,\N,"Action,Adventure,Fantasy"
33,tt5637536,movie,Avatar 5,2028,\N,"Action,Adventure,Drama"
39,tt0084412,movie,Night Shift,1982,106,Comedy
40,tt0088161,movie,Splash,1984,111,"Comedy,Fantasy,Romance"
41,tt0088933,movie,Cocoon,1985,117,"Comedy,Drama,Sci-Fi"
42,tt0091159,movie,Gung Ho,1986,112,"Comedy,Drama"
43,tt0096446,movie,Willow,1988,126,"Action,Adventure,Drama"
44,tt0098067,movie,Parenthood,1989,124,"Comedy,Drama"
45,tt0101393,movie,Backdraft,1991,137,"Action,Crime,Drama"
46,tt0104231,movie,Far and Away,1992,140,"Adventure,Drama,Romance"
47,tt0110771,movie,The Paper,1994,112,"Comedy,Drama"
48,tt0112384,movie,Apollo 13,1995,140,"Adventure,Drama,History"
49,tt0117438,movie,Ransom,1996,121,"Action,Crime,Thriller"
50,tt0131369,movie,Edtv,1999,122,"Comedy,Drama"
51,tt0170016,movie,How the Grinch Stole Christmas,2000,104,"Comedy,Family,Fantasy"
54,tt0268978,movie,A Beautiful Mind,2001,135,"Biography,Drama"
55,tt0338188,movie,The Missing,2003,137,"Adventure,Thriller,Western"
56,tt0352248,movie,Cinderella Man,2005,144,"Biography,Drama,History"
57,tt0382625,movie,The Da Vinci Code,2006,149,"Mystery,Thriller"
60,tt0808151,movie,Angels & Demons,2009,138,"Action,Mystery,Thriller"
61,tt0870111,movie,Frost/Nixon,2008,122,"Biography,Drama,History"
62,tt10551162,movie,The Shrinking of Treehorn,\N,\N,Animation
63,tt11708502,movie,The Fixer,\N,\N,Drama
64,tt12156974,movie,We Feed People,2022,89,Documentary
65,tt12262116,movie,Thirteen Lives,2022,\N,"Biography,Drama,Thriller"
66,tt1390411,movie,In the Heart of the Sea,2015,122,"Action,Adventure,Biography"
67,tt1578275,movie,The Dilemma,2011,111,"Comedy,Drama"
70,tt1730763,movie,Pinocchio,\N,\N,"Adventure,Fantasy"
71,tt1979320,movie,Rush,2013,123,"Action,Biography,Drama"
72,tt2366572,movie,Made in America,2013,93,"Documentary,Music"
73,tt2531318,movie,The Beatles: Eight Days a Week - The Touring Years,2016,106,"Documentary,History,Music"
74,tt3062096,movie,Inferno,2016,121,"Action,Adventure,Crime"
75,tt3778644,movie,Solo: A Star Wars Story,2018,135,"Action,Adventure,Sci-Fi"
77,tt5795154,movie,Seveneves,\N,\N,Sci-Fi
79,tt6173448,movie,Zelda,\N,\N,"Biography,Drama"
80,tt6772802,movie,Hillbilly Elegy,2020,116,Drama
81,tt6964076,movie,Pavarotti,2019,114,"Biography,Documentary,Music"
82,tt8629752,movie,Canary,\N,\N,Sci-Fi
83,tt9735350,movie,Rebuilding Paradise,2020,90,Documentary
87,tt0074486,movie,Eraserhead,1977,89,"Fantasy,Horror"
88,tt0080678,movie,The Elephant Man,1980,124,"Biography,Drama"
89,tt0087182,movie,Dune,1984,137,"Action,Adventure,Sci-Fi"
90,tt0090756,movie,Blue Velvet,1986,120,"Crime,Drama,Mystery"
92,tt0100935,movie,Wild at Heart,1990,125,"Comedy,Crime,Drama"
93,tt0105665,movie,Twin Peaks: Fire Walk with Me,1992,134,"Drama,Horror,Mystery"
94,tt0116922,movie,Lost Highway,1997,134,"Mystery,Thriller"
95,tt0166896,movie,The Straight Story,1999,112,"Biography,Drama"
96,tt0166924,movie,Mulholland Drive,2001,147,"Drama,Mystery,Thriller"
102,tt0460829,movie,Inland Empire,2006,180,"Drama,Fantasy,Mystery"
174,tt5334704,movie,Twin Peaks: The Missing Pieces,2014,91,"Drama,Horror,Mystery"
193,tt0388980,movie,The Greatest Game Ever Played,2005,120,"Biography,Drama,Sport"
198,tt0059181,movie,Firelight,1964,140,"Sci-Fi,Thriller"
205,tt0072226,movie,The Sugarland Express,1974,110,"Crime,Drama"
206,tt0073195,movie,Jaws,1975,124,"Adventure,Thriller"
207,tt0075860,movie,Close Encounters of the Third Kind,1977,138,"Drama,Sci-Fi"
208,tt0078723,movie,1941,1979,118,"Action,Comedy,War"
209,tt0082971,movie,Indiana Jones and the Raiders of the Lost Ark,1981,115,"Action,Adventure"
210,tt0083866,movie,E.T. the Extra-Terrestrial,1982,115,"Adventure,Family,Sci-Fi"
211,tt0086491,movie,Twilight Zone: The Movie,1983,101,"Horror,Sci-Fi"
212,tt0087469,movie,Indiana Jones and the Temple of Doom,1984,118,"Action,Adventure"
213,tt0088939,movie,The Color Purple,1985,154,Drama
214,tt0092965,movie,Empire of the Sun,1987,153,"Drama,History,War"
215,tt0096794,movie,Always,1989,122,"Drama,Fantasy,Romance"
216,tt0097576,movie,Indiana Jones and the Last Crusade,1989,127,"Action,Adventure"
218,tt0102057,movie,Hook,1991,142,"Adventure,Comedy,Family"
219,tt0107290,movie,Jurassic Park,1993,127,"Action,Adventure,Sci-Fi"
220,tt0108052,movie,Schindler's List,1993,195,"Biography,Drama,History"
221,tt0118607,movie,Amistad,1997,155,"Biography,Drama,History"
222,tt0119567,movie,The Lost World: Jurassic Park,1997,129,"Action,Adventure,Sci-Fi"
223,tt0120815,movie,Saving Private Ryan,1998,169,"Drama,War"
225,tt0181689,movie,Minority Report,2002,145,"Action,Crime,Mystery"
226,tt0212720,movie,A.I. Artificial Intelligence,2001,146,"Drama,Sci-Fi"
229,tt0264464,movie,Catch Me If You Can,2002,141,"Biography,Crime,Drama"
231,tt0362227,movie,The Terminal,2004,128,"Comedy,Drama,Romance"
232,tt0367882,movie,Indiana Jones and the Kingdom of the Crystal Skull,2008,122,"Action,Adventure"
233,tt0407304,movie,War of the Worlds,2005,116,"Action,Adventure,Sci-Fi"
234,tt0408306,movie,Munich,2005,164,"Action,Drama,History"
235,tt0443272,movie,Lincoln,2012,150,"Biography,Drama,History"
243,tt0983193,movie,The Adventures of Tintin,2011,107,"Action,Adventure,Animation"
245,tt14208870,movie,The Fabelmans,2022,\N,Drama
246,tt1568911,movie,War Horse,2011,146,"Action,Adventure,Drama"
247,tt1594575,movie,Untitled George Gershwin Project,\N,\N,"Biography,Drama,Music"
248,tt1677720,movie,Ready Player One,2018,140,"Action,Adventure,Sci-Fi"
249,tt18334932,movie,Untitled Frank Bullitt Project,\N,\N,\N
250,tt3581652,movie,West Side Story,2021,156,"Crime,Drama,Musical"
251,tt3682448,movie,Bridge of Spies,2015,142,"Drama,History,Thriller"
252,tt3691740,movie,The BFG,2016,117,"Adventure,Family,Fantasy"
253,tt6294822,movie,The Post,2017,116,Drama
254,tt7763324,movie,Amazing Stories,1986,111,"Adventure,Fantasy,Sci-Fi"
255,tt8295436,movie,Blackhawk,\N,\N,"Action,Adventure,War"
256,tt8430788,movie,Untitled Ulysses S. Grant Project,\N,\N,"Drama,War"
260,tt0089791,movie,Pee-wee's Big Adventure,1985,91,"Adventure,Comedy,Family"
261,tt0094721,movie,Beetlejuice,1988,92,"Comedy,Fantasy"
262,tt0096895,movie,Batman,1989,126,"Action,Adventure"
263,tt0099487,movie,Edward Scissorhands,1990,105,"Drama,Fantasy,Romance"
264,tt0103776,movie,Batman Returns,1992,126,"Action,Crime,Fantasy"
265,tt0109707,movie,Ed Wood,1994,127,"Biography,Comedy,Drama"
266,tt0116996,movie,Mars Attacks!,1996,106,"Comedy,Sci-Fi"
267,tt0121164,movie,Corpse Bride,2005,77,"Animation,Drama,Family"
