,nconst,writer,primaryName,birthYear,tconst,category,primaryTitle,runtimeMinutes,genres,mpaarating,rlsdt_dt,startYear,rlsdt_mo,rlsdt_day,rlsdt_daynm,budget_adj,worldwide_adj,ROI,averageRating,numVotes,_merge,age
0,nm0000184,writer,George Lucas,1944.0,tt0079576,writer,More American Graffiti,110.0,"Comedy,Drama,War",PG,1979-08-03,1979.0,8.0,3.0,Friday,3000000.0,15014674.0,4.004891333333333,5.3,4460.0,both,35.0
1,nm0000184,writer,George Lucas,1944.0,tt0080684,writer,Star Wars: Episode V - The Empire Strikes Back,124.0,"Action,Adventure,Fantasy",PG,1980-06-20,1980.0,6.0,20.0,Friday,18000000.0,538375067.0,28.90972594444445,8.7,1240496.0,both,36.0
2,nm0000184,writer,George Lucas,1944.0,tt0082971,writer,Indiana Jones and the Raiders of the Lost Ark,115.0,"Action,Adventure",PG,1981-06-12,1981.0,6.0,12.0,Friday,18000000.0,389925971.0,20.662553944444443,8.4,938031.0,both,37.0
3,nm0000184,writer,George Lucas,1944.0,tt0086190,writer,Star Wars: Episode VI - Return of the Jedi,131.0,"Action,Adventure,Fantasy",PG,1983-05-25,1983.0,5.0,25.0,Wednesday,32500000.0,475106177.0,13.6186516,8.3,1013891.0,both,39.0
5,nm0000184,writer,George Lucas,1944.0,tt0087469,writer,Indiana Jones and the Temple of Doom,118.0,"Action,Adventure",PG,1984-05-23,1984.0,5.0,23.0,Wednesday,28000000.0,333107271.0,10.89668825,7.5,475269.0,both,40.0
9,nm0000184,writer,George Lucas,1944.0,tt0096446,writer,Willow,126.0,"Action,Adventure,Drama",PG,1988-05-20,1988.0,5.0,20.0,Friday,35000000.0,57269863.0,0.6362818,7.2,110059.0,both,44.0
10,nm0000184,writer,George Lucas,1944.0,tt0097576,writer,Indiana Jones and the Last Crusade,127.0,"Action,Adventure",PG-13,1989-05-24,1989.0,5.0,24.0,Wednesday,48000000.0,474171806.0,8.878579291666666,8.3,733825.0,both,45.0
13,nm0000184,writer,George Lucas,1944.0,tt0110939,writer,Radioland Murders,108.0,"Comedy,Crime,Drama",PG,1994-10-21,1994.0,10.0,21.0,Friday,15000000.0,1316865.0,-0.912209,6.1,3655.0,both,50.0
32,nm0000184,writer,George Lucas,1944.0,tt0367882,writer,Indiana Jones and the Kingdom of the Crystal Skull,122.0,"Action,Adventure",PG-13,2008-05-22,2008.0,5.0,22.0,Thursday,185000000.0,790653942.0,3.273805091891892,6.2,445643.0,both,64.0
103,nm0000184,writer,George Lucas,1944.0,tt1185834,writer,Star Wars: The Clone Wars,98.0,"Action,Adventure,Animation",PG,2008-08-15,2008.0,8.0,15.0,Friday,8500000.0,68282844.0,7.033275764705882,5.9,63787.0,both,64.0
125,nm0000184,writer,George Lucas,1944.0,tt12700334,writer,The Phantom Menace Special Edition,135.0,Sci-Fi,error,2020-07-24,2020.0,7.0,24.0,Friday,200.0,0.0,-1.0,6.4,19.0,both,76.0
