,nconst,writer,primaryName,birthYear,tconst,category
0,nm0000184,writer,George Lucas,1944,tt0079576,writer
1,nm0000184,writer,George Lucas,1944,tt0080684,writer
2,nm0000184,writer,George Lucas,1944,tt0082971,writer
3,nm0000184,writer,George Lucas,1944,tt0086190,writer
4,nm0000184,writer,George Lucas,1944,tt0087225,writer
5,nm0000184,writer,George Lucas,1944,tt0087469,writer
6,nm0000184,writer,George Lucas,1944,tt0089110,writer
7,nm0000184,writer,George Lucas,1944,tt0090793,writer
8,nm0000184,writer,George Lucas,1944,tt0094029,writer
9,nm0000184,writer,George Lucas,1944,tt0096446,writer
10,nm0000184,writer,George Lucas,1944,tt0097576,writer
11,nm0000184,writer,George Lucas,1944,tt0103586,writer
12,nm0000184,writer,George Lucas,1944,tt0108635,writer
13,nm0000184,writer,George Lucas,1944,tt0110939,writer
14,nm0000184,writer,George Lucas,1944,tt0151055,writer
15,nm0000184,writer,George Lucas,1944,tt0153301,writer
16,nm0000184,writer,George Lucas,1944,tt0158208,writer
17,nm0000184,writer,George Lucas,1944,tt0245165,writer
18,nm0000184,writer,George Lucas,1944,tt0245166,writer
19,nm0000184,writer,George Lucas,1944,tt0250196,writer
20,nm0000184,writer,George Lucas,1944,tt0250198,writer
21,nm0000184,writer,George Lucas,1944,tt0250199,writer
22,nm0000184,writer,George Lucas,1944,tt0251413,writer
23,nm0000184,writer,George Lucas,1944,tt0275899,writer
24,nm0000184,writer,George Lucas,1944,tt0284516,writer
25,nm0000184,writer,George Lucas,1944,tt0292254,writer
26,nm0000184,writer,George Lucas,1944,tt0292256,writer
27,nm0000184,writer,George Lucas,1944,tt0295630,writer
28,nm0000184,writer,George Lucas,1944,tt0303885,writer
29,nm0000184,writer,George Lucas,1944,tt0327950,writer
30,nm0000184,writer,George Lucas,1944,tt0330930,writer
31,nm0000184,writer,George Lucas,1944,tt0340403,writer
32,nm0000184,writer,George Lucas,1944,tt0367882,writer
33,nm0000184,writer,George Lucas,1944,tt0394998,writer
34,nm0000184,writer,George Lucas,1944,tt0394999,writer
35,nm0000184,writer,George Lucas,1944,tt0395000,writer
36,nm0000184,writer,George Lucas,1944,tt0458290,writer
37,nm0000184,writer,George Lucas,1944,tt0462553,writer
38,nm0000184,writer,George Lucas,1944,tt0486613,writer
39,nm0000184,writer,George Lucas,1944,tt0490479,writer
40,nm0000184,writer,George Lucas,1944,tt0752169,writer
41,nm0000184,writer,George Lucas,1944,tt0752170,writer
42,nm0000184,writer,George Lucas,1944,tt0752171,writer
43,nm0000184,writer,George Lucas,1944,tt0752172,writer
44,nm0000184,writer,George Lucas,1944,tt0752173,writer
45,nm0000184,writer,George Lucas,1944,tt0752174,writer
46,nm0000184,writer,George Lucas,1944,tt0752175,writer
47,nm0000184,writer,George Lucas,1944,tt0752176,writer
48,nm0000184,writer,George Lucas,1944,tt0752179,writer
49,nm0000184,writer,George Lucas,1944,tt0752183,writer
50,nm0000184,writer,George Lucas,1944,tt0752184,writer
51,nm0000184,writer,George Lucas,1944,tt0752185,writer
52,nm0000184,writer,George Lucas,1944,tt0752186,writer
53,nm0000184,writer,George Lucas,1944,tt0752189,writer
54,nm0000184,writer,George Lucas,1944,tt0752191,writer
55,nm0000184,writer,George Lucas,1944,tt0752192,writer
56,nm0000184,writer,George Lucas,1944,tt0772251,writer
57,nm0000184,writer,George Lucas,1944,tt0814126,writer
58,nm0000184,writer,George Lucas,1944,tt0827187,writer
59,nm0000184,writer,George Lucas,1944,tt0837295,writer
60,nm0000184,writer,George Lucas,1944,tt0837296,writer
61,nm0000184,writer,George Lucas,1944,tt0837297,writer
62,nm0000184,writer,George Lucas,1944,tt0837298,writer
63,nm0000184,writer,George Lucas,1944,tt0837299,writer
64,nm0000184,writer,George Lucas,1944,tt0837300,writer
65,nm0000184,writer,George Lucas,1944,tt0837303,writer
66,nm0000184,writer,George Lucas,1944,tt0837304,writer
67,nm0000184,writer,George Lucas,1944,tt0837305,writer
68,nm0000184,writer,George Lucas,1944,tt0837306,writer
69,nm0000184,writer,George Lucas,1944,tt0837307,writer
70,nm0000184,writer,George Lucas,1944,tt0837308,writer
71,nm0000184,writer,George Lucas,1944,tt0837309,writer
72,nm0000184,writer,George Lucas,1944,tt0879261,writer
73,nm0000184,writer,George Lucas,1944,tt0940894,writer
74,nm0000184,writer,George Lucas,1944,tt1024923,writer
75,nm0000184,writer,George Lucas,1944,tt10300394,writer
76,nm0000184,writer,George Lucas,1944,tt10300396,writer
77,nm0000184,writer,George Lucas,1944,tt10612278,writer
78,nm0000184,writer,George Lucas,1944,tt10612292,writer
79,nm0000184,writer,George Lucas,1944,tt10612300,writer
80,nm0000184,writer,George Lucas,1944,tt10612312,writer
81,nm0000184,writer,George Lucas,1944,tt10612322,writer
82,nm0000184,writer,George Lucas,1944,tt10612328,writer
83,nm0000184,writer,George Lucas,1944,tt10612330,writer
84,nm0000184,writer,George Lucas,1944,tt10612334,writer
85,nm0000184,writer,George Lucas,1944,tt10612344,writer
86,nm0000184,writer,George Lucas,1944,tt10612348,writer
87,nm0000184,writer,George Lucas,1944,tt11005164,writer
88,nm0000184,writer,George Lucas,1944,tt11026882,writer
89,nm0000184,writer,George Lucas,1944,tt11150494,writer
90,nm0000184,writer,George Lucas,1944,tt1117520,writer
91,nm0000184,writer,George Lucas,1944,tt1117537,writer
92,nm0000184,writer,George Lucas,1944,tt11300650,writer
93,nm0000184,writer,George Lucas,1944,tt11300654,writer
94,nm0000184,writer,George Lucas,1944,tt11421268,writer
95,nm0000184,writer,George Lucas,1944,tt11421270,writer
96,nm0000184,writer,George Lucas,1944,tt11421272,writer
97,nm0000184,writer,George Lucas,1944,tt11421278,writer
98,nm0000184,writer,George Lucas,1944,tt11421284,writer
99,nm0000184,writer,George Lucas,1944,tt1149318,writer
100,nm0000184,writer,George Lucas,1944,tt1149396,writer
101,nm0000184,writer,George Lucas,1944,tt11559486,writer
102,nm0000184,writer,George Lucas,1944,tt11834430,writer
103,nm0000184,writer,George Lucas,1944,tt1185834,writer
104,nm0000184,writer,George Lucas,1944,tt1190535,writer
105,nm0000184,writer,George Lucas,1944,tt11941564,writer
106,nm0000184,writer,George Lucas,1944,tt1194567,writer
107,nm0000184,writer,George Lucas,1944,tt1201558,writer
108,nm0000184,writer,George Lucas,1944,tt1213567,writer
109,nm0000184,writer,George Lucas,1944,tt12187072,writer
110,nm0000184,writer,George Lucas,1944,tt1245739,writer
111,nm0000184,writer,George Lucas,1944,tt12531728,writer
112,nm0000184,writer,George Lucas,1944,tt12531732,writer
113,nm0000184,writer,George Lucas,1944,tt12531734,writer
114,nm0000184,writer,George Lucas,1944,tt12531736,writer
115,nm0000184,writer,George Lucas,1944,tt12531738,writer
116,nm0000184,writer,George Lucas,1944,tt12531740,writer
117,nm0000184,writer,George Lucas,1944,tt12531744,writer
118,nm0000184,writer,George Lucas,1944,tt12531746,writer
119,nm0000184,writer,George Lucas,1944,tt12531750,writer
120,nm0000184,writer,George Lucas,1944,tt12531754,writer
121,nm0000184,writer,George Lucas,1944,tt12531756,writer
122,nm0000184,writer,George Lucas,1944,tt12531758,writer
123,nm0000184,writer,George Lucas,1944,tt12531762,writer
124,nm0000184,writer,George Lucas,1944,tt12531776,writer
125,nm0000184,writer,George Lucas,1944,tt12700334,writer
126,nm0000184,writer,George Lucas,1944,tt12711128,writer
127,nm0000184,writer,George Lucas,1944,tt12885438,writer
128,nm0000184,writer,George Lucas,1944,tt1288767,writer
129,nm0000184,writer,George Lucas,1944,tt1288768,writer
130,nm0000184,writer,George Lucas,1944,tt1292833,writer
131,nm0000184,writer,George Lucas,1944,tt1292834,writer
132,nm0000184,writer,George Lucas,1944,tt1292835,writer
133,nm0000184,writer,George Lucas,1944,tt1292836,writer
134,nm0000184,writer,George Lucas,1944,tt12981670,writer
135,nm0000184,writer,George Lucas,1944,tt12981672,writer
136,nm0000184,writer,George Lucas,1944,tt12981674,writer
137,nm0000184,writer,George Lucas,1944,tt13052856,writer
138,nm0000184,writer,George Lucas,1944,tt13052868,writer
139,nm0000184,writer,George Lucas,1944,tt13052876,writer
140,nm0000184,writer,George Lucas,1944,tt13052880,writer
141,nm0000184,writer,George Lucas,1944,tt1320037,writer
142,nm0000184,writer,George Lucas,1944,tt1322834,writer
143,nm0000184,writer,George Lucas,1944,tt1322835,writer
144,nm0000184,writer,George Lucas,1944,tt1322836,writer
145,nm0000184,writer,George Lucas,1944,tt1322837,writer
146,nm0000184,writer,George Lucas,1944,tt13389772,writer
147,nm0000184,writer,George Lucas,1944,tt13439668,writer
148,nm0000184,writer,George Lucas,1944,tt1345253,writer
149,nm0000184,writer,George Lucas,1944,tt1345254,writer
150,nm0000184,writer,George Lucas,1944,tt1345675,writer
151,nm0000184,writer,George Lucas,1944,tt1345740,writer
152,nm0000184,writer,George Lucas,1944,tt13622786,writer
153,nm0000184,writer,George Lucas,1944,tt13622790,writer
154,nm0000184,writer,George Lucas,1944,tt13634750,writer
155,nm0000184,writer,George Lucas,1944,tt13636426,writer
156,nm0000184,writer,George Lucas,1944,tt13653876,writer
157,nm0000184,writer,George Lucas,1944,tt13665846,writer
158,nm0000184,writer,George Lucas,1944,tt13669018,writer
159,nm0000184,writer,George Lucas,1944,tt13669028,writer
160,nm0000184,writer,George Lucas,1944,tt1371607,writer
161,nm0000184,writer,George Lucas,1944,tt1371608,writer
162,nm0000184,writer,George Lucas,1944,tt13801574,writer
163,nm0000184,writer,George Lucas,1944,tt13801578,writer
164,nm0000184,writer,George Lucas,1944,tt1380659,writer
165,nm0000184,writer,George Lucas,1944,tt1380660,writer
166,nm0000184,writer,George Lucas,1944,tt1380662,writer
167,nm0000184,writer,George Lucas,1944,tt1380663,writer
168,nm0000184,writer,George Lucas,1944,tt1380664,writer
169,nm0000184,writer,George Lucas,1944,tt13820580,writer
170,nm0000184,writer,George Lucas,1944,tt13820582,writer
171,nm0000184,writer,George Lucas,1944,tt13820658,writer
172,nm0000184,writer,George Lucas,1944,tt13834702,writer
173,nm0000184,writer,George Lucas,1944,tt13834750,writer
174,nm0000184,writer,George Lucas,1944,tt13840822,writer
175,nm0000184,writer,George Lucas,1944,tt13840902,writer
176,nm0000184,writer,George Lucas,1944,tt13841118,writer
177,nm0000184,writer,George Lucas,1944,tt13841120,writer
178,nm0000184,writer,George Lucas,1944,tt13841404,writer
179,nm0000184,writer,George Lucas,1944,tt13841406,writer
180,nm0000184,writer,George Lucas,1944,tt13841442,writer
181,nm0000184,writer,George Lucas,1944,tt13841444,writer
182,nm0000184,writer,George Lucas,1944,tt13841458,writer
183,nm0000184,writer,George Lucas,1944,tt13848268,writer
184,nm0000184,writer,George Lucas,1944,tt1387384,writer
185,nm0000184,writer,George Lucas,1944,tt13948762,writer
186,nm0000184,writer,George Lucas,1944,tt1403104,writer
187,nm0000184,writer,George Lucas,1944,tt14115576,writer
188,nm0000184,writer,George Lucas,1944,tt14115578,writer
189,nm0000184,writer,George Lucas,1944,tt14115580,writer
190,nm0000184,writer,George Lucas,1944,tt14115584,writer
191,nm0000184,writer,George Lucas,1944,tt14115586,writer
192,nm0000184,writer,George Lucas,1944,tt14115588,writer
193,nm0000184,writer,George Lucas,1944,tt14115596,writer
194,nm0000184,writer,George Lucas,1944,tt14115598,writer
195,nm0000184,writer,George Lucas,1944,tt14115600,writer
196,nm0000184,writer,George Lucas,1944,tt14115602,writer
197,nm0000184,writer,George Lucas,1944,tt14115604,writer
198,nm0000184,writer,George Lucas,1944,tt14115606,writer
199,nm0000184,writer,George Lucas,1944,tt14115608,writer
200,nm0000184,writer,George Lucas,1944,tt14115610,writer
201,nm0000184,writer,George Lucas,1944,tt14115614,writer
202,nm0000184,writer,George Lucas,1944,tt14120078,writer
203,nm0000184,writer,George Lucas,1944,tt14149802,writer
204,nm0000184,writer,George Lucas,1944,tt14257358,writer
205,nm0000184,writer,George Lucas,1944,tt14417986,writer
206,nm0000184,writer,George Lucas,1944,tt14417988,writer
207,nm0000184,writer,George Lucas,1944,tt14418064,writer
208,nm0000184,writer,George Lucas,1944,tt14418066,writer
209,nm0000184,writer,George Lucas,1944,tt14418068,writer
210,nm0000184,writer,George Lucas,1944,tt14418070,writer
211,nm0000184,writer,George Lucas,1944,tt14418072,writer
212,nm0000184,writer,George Lucas,1944,tt14418672,writer
213,nm0000184,writer,George Lucas,1944,tt14418674,writer
214,nm0000184,writer,George Lucas,1944,tt14418676,writer
215,nm0000184,writer,George Lucas,1944,tt14418678,writer
216,nm0000184,writer,George Lucas,1944,tt1450327,writer
217,nm0000184,writer,George Lucas,1944,tt14525192,writer
218,nm0000184,writer,George Lucas,1944,tt14525196,writer
219,nm0000184,writer,George Lucas,1944,tt14525202,writer
