Title,Original U.S. theatrical release date[rls 1],Other Theatrical Release Date,Animation studio[st 2],CoCredit,Released By,Film Type,Live-action / Animation hybrid,"Not produced by Disney, but released under its label.",US Release Exceptions,Released under the Touchstone Pictures label,Released by Disney outside North America,Released by Miramax Films when the studio was a subsidiary of Disney at the time of release,Release Note
Academy Award Review of Walt Disney Cartoons,5/19/1937,,Walt Disney Animation Studios (1937 - Present),, RKO Radio Pictures ,Animation,,,,,,,
Snow White and the Seven Dwarfs,12/21/1937,,Walt Disney Animation Studios (1937 - Present),, RKO Radio Pictures ,Animation,,,,,,,
Pinocchio,2/7/1940,,Walt Disney Animation Studios (1937 - Present),, RKO Radio Pictures ,Animation,,,,,,,
Fantasia,11/13/1940,1/29/1941,Walt Disney Animation Studios (1937 - Present),,Walt Disney Productions /  RKO Radio Pictures ,Animation,Live-action / Animation hybrid,,,,,,"Originally distributed by Walt Disney Productions. Original RKO date of release was January 29, 1941"
The Reluctant Dragon,6/20/1941,,Walt Disney Animation Studios (1937 - Present),, RKO Radio Pictures ,Animation,Live-action / Animation hybrid,,,,,,
Dumbo,10/23/1941,,Walt Disney Animation Studios (1937 - Present),, RKO Radio Pictures ,Animation,,,,,,,
Bambi,8/13/1942,,Walt Disney Animation Studios (1937 - Present),, RKO Radio Pictures ,Animation,,,,,,,
Saludos Amigos,8/24/1942,,Walt Disney Animation Studios (1937 - Present),, RKO Radio Pictures ,Animation,Live-action / Animation hybrid,,,,,,
Victory Through Air Power,7/17/1943,,Walt Disney Animation Studios (1937 - Present),, United Artists,Animation,Live-action / Animation hybrid,,,,,,
The Three Caballeros,12/21/1944,,Walt Disney Animation Studios (1937 - Present),, RKO Radio Pictures ,Animation,Live-action / Animation hybrid,,,,,,
Make Mine Music,4/20/1946,,Walt Disney Animation Studios (1937 - Present),, RKO Radio Pictures ,Animation,,,,,,,
Song of the South,11/20/1946,,Walt Disney Animation Studios (1937 - Present),, RKO Radio Pictures ,Animation,Live-action / Animation hybrid,,,,,,
Fun and Fancy Free,9/27/1947,,Walt Disney Animation Studios (1937 - Present),, RKO Radio Pictures ,Animation,Live-action / Animation hybrid,,,,,,
Melody Time,5/27/1948,,Walt Disney Animation Studios (1937 - Present),, RKO Radio Pictures ,Animation,Live-action / Animation hybrid,,,,,,
So Dear to My Heart,11/29/1948,,Walt Disney Animation Studios (1937 - Present),, RKO Radio Pictures ,Animation,Live-action / Animation hybrid,,,,,,
The Adventures of Ichabod and Mr. Toad,10/5/1949,,Walt Disney Animation Studios (1937 - Present),, RKO Radio Pictures ,Animation,,,,,,,
Cinderella,2/15/1950,,Walt Disney Animation Studios (1937 - Present),, RKO Radio Pictures ,Animation,,,,,,,
Alice in Wonderland,7/28/1951,,Walt Disney Animation Studios (1937 - Present),, RKO Radio Pictures ,Animation,,,,,,,
Peter Pan,2/5/1953,,Walt Disney Animation Studios (1937 - Present),, RKO Radio Pictures ,Animation,,,,,,,
Lady and the Tramp,6/22/1955,,Walt Disney Animation Studios (1937 - Present),,Buena Vista Distribution ,Animation,,,,,,,
Sleeping Beauty,1/29/1959,,Walt Disney Animation Studios (1937 - Present),,Buena Vista Distribution ,Animation,,,,,,,
One Hundred and One Dalmatians,1/25/1961,,Walt Disney Animation Studios (1937 - Present),,Buena Vista Distribution ,Animation,,,,,,,
The Sword in the Stone,12/25/1963,,Walt Disney Animation Studios (1937 - Present),,Buena Vista Distribution ,Animation,,,,,,,
Mary Poppins,8/27/1964,,Walt Disney Animation Studios (1937 - Present),,Buena Vista Distribution ,Animation,Live-action / Animation hybrid,,,,,,
The Jungle Book,10/18/1967,,Walt Disney Animation Studios (1937 - Present),,Buena Vista Distribution ,Animation,,,,,,,
The Aristocats,12/24/1970,,Walt Disney Animation Studios (1937 - Present),,Buena Vista Distribution ,Animation,,,,,,,
Bedknobs and Broomsticks,8/23/1971,,Walt Disney Animation Studios (1937 - Present),,Buena Vista Distribution ,Animation,Live-action / Animation hybrid,,,,,,
Robin Hood,11/8/1973,,Walt Disney Animation Studios (1937 - Present),,Buena Vista Distribution ,Animation,,,,,,,
The Many Adventures of Winnie the Pooh,3/11/1977,,Walt Disney Animation Studios (1937 - Present),,Buena Vista Distribution ,Animation,,,,,,,
The Rescuers,6/22/1977,,Walt Disney Animation Studios (1937 - Present),,Buena Vista Distribution ,Animation,,,,,,,
Pete's Dragon,11/3/1977,,Walt Disney Animation Studios (1937 - Present),,Buena Vista Distribution ,Animation,Live-action / Animation hybrid,,,,,,
The Fox and the Hound,7/10/1981,,Walt Disney Animation Studios (1937 - Present),,Buena Vista Distribution ,Animation,,,,,,,
