US Release,Other Release Date,Title,Co-production companies,Category,Direct to video or streaming exclusive Disney+,Premium video on demand release through Disney+,Simultaneous release to theatres and on premium video on demand,non-US Film,Notes
5/19/1937,,Academy Award Review of Walt Disney Cartoons,,Animated feature,,,,,
12/4/1939,,Snow White and the Seven Dwarfs,,Animated feature,,,,,
6/1/1940,,Pinocchio,,Animated feature,,,,,
10/23/1941,,Dumbo,,Animated feature,,,,,
11/2/1941,,Bambi,,Animated feature,,,,,
12/12/1941,,The Reluctant Dragon,,Combines animation and live action,,,,,
1943,,Victory Through Air Power,,Combines animation and live action,,,,,
1945,,So Dear To My Heart,,Combines animation and live action,,,,,
7/7/1946,,Make Mine Music,,Animated feature,,,,,
1947,,Fun and Fancy Free,,Combines animation and live action,,,,,
1948,,Melody Time*,,Combines animation and live action,,,,,
10/5/1949,,The Adventures of Ichabod and Mr. Toad,,Animated feature,,,,,
1950,,Cinderella,,Animated feature,,,,,
1950,,Treasure Island,,Live Action,,,,,
7/28/1951,,Alice in Wonderland,,Animated feature,,,,,
1952,,The Story of Robin Hood and His Merrie Men,,Live Action,,,,,
1953,,Peter Pan,,Animated feature,,,,,
1953,,The Sword and the Rose,,Live Action,,,,,
1953,,The Living Desert,,True-Life Adventure,,,,,
1954,,"Rob Roy, the Highland Rogue",,Live Action,,,,,
1954,,The Vanishing Prairie,,True-Life Adventure,,,,,
1954,,"20,000 Leagues Under the Sea",,Live Action,,,,,
1955,,Lady and the Tramp,,Animated feature,,,,,
1955,,The African Lion,,True-Life Adventure,,,,,
1955,,The Littlest Outlaw,,Live Action,,,,,
1955,,"Davy Crockett, King of the Wild Frontier",,Live Action,,,,,
1956,,The Great Locomotive Chase,,Live Action,,,,,
1956,,Davy Crockett and the River Pirates,,Live Action,,,,,
1956,,"Westward Ho, The Wagons",,Live Action,,,,,
1957,,Johnny Tremain,,Live Action,,,,,
1957,,Perri,,True-Life Adventure,,,,,
1957,,Old Yeller,,Live Action,,,,,
1958,,The Light in the Forest,,Live Action,,,,,
1958,,White Wilderness,,True-Life Adventure,,,,,
1958,,Tonka,,Live Action,,,,,
1959,,The Shaggy Dog,,Live Action,,,,,
1959,,Darby O'Gill and the Little People,,True-Life Adventure,,,,,
1959,,Sleeping Beauty,,Animated feature,,,,,
1959,,Jungle Cat,,Live Action,,,,,
1959,,Third Man on the Mountain,,Live Action,,,,,
1960,,Pollyanna,,Live Action,,,,,
1960,,Toby Tyler,,Live Action,,,,,
1960,,Kidnapped (1960 movie),,Live Action,,,,,
1960,,The Sign of Zorro,,Live Action,,,,,
1960,,Ten Who Dared,,Live Action,,,,,
1960,,Swiss Family Robinson (movie),,Live Action,,,,,
5/5/1961,,One Hundred and One Dalmatians,,Animated feature,,,,,
6/6/1961,,The Parent Trap (1961 movie),,Live Action,,,,,
1961,,"Nikki, Wild Dog of the North",,Live Action,,,,,
10/10/1961,,The Absent-Minded Professor,,Live Action,,,,,
12/14/1961,,Babes in Toyland (1961 movie),,Live Action,,,,,
1961,,Greyfriars Bobby: The True Story of a Dog,,Live Action,,,,,
1962,,Bon Voyage (movie),,Live Action,,,,,
1962,,Big Red (movie),,Live Action,,,,,
1962,,Almost Angels,,Live Action,,,,,
1962,,Moon Pilot,,Live Action,,,,,
1962,,The Legend of Lobo,,Live Action,,,,,
1962,,In Search of the Castaways (movie),,Live Action,,,,,
1963,,Son of Flubber,,Live Action,,,,,
1963,,Summer Magic,,Live Action,,,,,
1963,,Miracle of the White Stallions,,Live Action,,,,,
1963,,Savage Sam,,Live Action,,,,,
1963,,The Sword in the Stone,,Animated feature,,,,,
1963,,The Incredible Journey (1963 movie),,Live Action,,,,,
1964,,Mary Poppins,,Combines animation and live action,,,,,
1964,,The Misadventures of Merlin Jones,,Live Action,,,,,
1964,,A Tiger Walks,,Live Action,,,,,
1964,,The Three Lives of Thomasina,,Live Action,,,,,
1964,,The Moon-Spinners,,Live Action,,,,,
1964,,Emil and the Detectives,,Live Action,,,,,
1965,,That Darn Cat!,,Live Action,,,,,
1965,,Those Calloways,,Live Action,,,,,
1965,,The Monkey's Uncle,,Live Action,,,,,
1966,,"Follow Me, Boys!",,Live Action,,,,,
1966,,The Ugly Dachshund,,Live Action,,,,,
1966,,The Fighting Prince of Donegal,,Live Action,,,,,
1966,,"Lt. Robin Crusoe, U.S.N.",,Live Action,,,,,
1967,,The Jungle Book,,Animated feature,,,,,
1967,,The Adventures of Bullwhip Griffin,,Live Action,,,,,
1967,,"Charlie, The Lonesome Cougar",,Live Action,,,,,
1967,,The Gnome-Mobile,,Live Action,,,,,
1967,,The Happiest Millionaire,,Live Action,,,,,
1967,,"Monkeys, Go Home!",,Live Action,,,,,
1968,,Blackbeard's Ghost,,Live Action,,,,,
1968,,The Horse in the Gray Flannel Suit,,Live Action,,,,,
1968,,Never A Dull Moment (1968 movie),,Live Action,,,,,
1968,,"The One and Only, Genuine, Original Family Band",,Live Action,,,,,
1968,,The Love Bug,,Live Action,,,,,
1969,,Rascal (movie),,Live Action,,,,,
1969,,"My Dog, The Thief",,Live Action,,,,,
1969,,The Computer Wore Tennis Shoes,,Live Action,,,,,
1969,,"Doctor Syn, Alias the Scarecrow TV",,Live Action,,,,,
7/1/1970,,The Boatniks,,Live Action,,,,,
12/11/1970,,The Aristocats,,Animated feature,,,,,
3/17/1971,,The Barefoot Executive,,Live Action,,,,,
6/30/1971,,The Million Dollar Duck,,Live Action,,,,,
7/7/1971,,Bedknobs and Broomsticks,,Combines animation and live action,,,,,
1972,,The Biscuit Eater,,Live Action,,,,,
1972,,Napoleon and Samantha,,Live Action,,,,,
1972,,"Now You See Him, Now You Don't",,Live Action,,,,,
1973,,Superdad,,Live Action,,,,,
1973,,One Little Indian,,Live Action,,,,,
1973,,Robin Hood,,Animated feature,,,,,
1973,,The World's Greatest Athlete,,Live Action,,,,,
1974,,Herbie Rides Again,,Live Action,,,,,
1974,,Castaway Cowboy,,Live Action,,,,,
1974,,The Island at the Top of the World,,Live Action,,,,,
1975,,The Strongest Man in the World,,Live Action,,,,,
1975,,Escape to Witch Mountain,,Live Action,,,,,
1975,,The Apple Dumpling Gang,,Live Action,,,,,
1975,,One of Our Dinosaurs Is Missing,,Live Action,,,,,
2/5/1976,,"No Deposit, No Return",,Live Action,,,,,
7/7/1976,,Gus,,Live Action,,,,,
12/17/1976,,Freaky Friday,,Live Action,,,,,
1977,,Pete's Dragon,,Combines animation and live action,,,,,
1977,,The Many Adventures of Winnie the Pooh,,Animated feature,,,,,
1977,,The Rescuers,,Animated feature,,,,,
1977,,Herbie Goes to Monte Carlo,,Live Action,,,,,
1977,,Candleshoe,,Live Action,,,,,
1978,,Return from Witch Mountain,,Live Action,,,,,
1978,,The Cat From Outer Space,,Live Action,,,,,
1978,,Hot Lead and Cold Feet,,Live Action,,,,,
1/1/1979,,Take Down,,Live Action,,,,,
2/9/1979,,The North Avenue Irregulars,,Live Action,,,,,
7/26/1979,,Unidentified Flying Oddball,,Live Action,,,,,
7/27/1979,,The Apple Dumpling Gang Rides Again,,Live Action,,,,,
12/21/1979,,The Black Hole,,Live Action,,,,,
2/8/1980,,Midnight Madness,,Live Action,,,,,
4/17/1980,,The Watcher in the Woods,,Live Action,,,,,
6/25/1980,,Herbie Goes Bananas,,Live Action,,,,,
6/25/1980,,The Last Flight of Noah's Ark,,Live Action,,,,,
12/12/1980,,Popeye,Paramount Pictures,Live Action,,,,,
3/6/1981,,The Devil and Max Devlin,,Live Action,,,,,
3/20/1981,,Amy,,Live Action,,,,,
6/21/1981,,Dragonslayer,Paramount Pictures,Live Action,,,,,
8/7/1981,,Condorman,,Live Action,,,,,
7/10/1981,,The Fox and the Hound,,Animated feature,,,,,
7/9/1981,,Tron,,Live Action,,,,,
7/24/1981,,Night Crossing,,Live Action,,,,,
1982,,Tex,,Live Action,,,,,
1983,,Trenchcoat,,Live Action,,,,,
